timepoint	variable	n_R	n_NR	median_R	median_NR	diff	p	FDR
Pre	ZFYVE19	8	8	0.443848973607038	0.957026455026455	-0.513177481419417	0.17185170221967	0.350769230769231
Pre	SMC2	8	8	0.355033259423503	0.349331896551724	0.00570136287177919	0.959129759129759	0.959129759129759
Pre	SPSB2	8	8	0.29907967032967	0.540482142857143	-0.241402472527473	0.314840273143164	0.404794636898354
Pre	TPI1	8	8	5.43222435897436	7.11204761904762	-1.67982326007326	0.064957264957265	0.292307692307692
Pre	HLA-C	8	8	9.79946568627451	10.7696666666667	-0.970200980392153	0.194871794871795	0.350769230769231
Pre	KIAA0040	8	8	0.596309523809524	0.8184	-0.222090476190476	0.160528360528361	0.350769230769231
Pre	ProlifScore	8	8	-0.205877396618574	-0.0770131007160664	-0.128864295902508	0.0281274281274281	0.253146853146853
Pre	ExhaustScore	8	8	-0.275708134245962	-0.169388805702463	-0.106319328543499	0.278632478632479	0.404794636898354
Pre	GlycoScore	8	8	-0.0752434954932598	0.00957272715956417	-0.084816222652824	0.382284382284382	0.43006993006993
Post	ZFYVE19	6	20	0.542872670807453	0.48575	0.0571226708074534	0.744472918385962	0.744472918385962
Post	SMC2	6	20	0.273745059288538	0.708458781362007	-0.43471372207347	0.10029014599136	0.159842389719159
Post	SPSB2	6	20	0.258297101449275	0.454240566037736	-0.19594346458846	0.106561593146106	0.159842389719159
Post	TPI1	6	20	4.9792652173913	6.9738445945946	-1.99457937720329	0.00108587065108804	0.00488641792989619
Post	HLA-C	6	20	10.0547628458498	10.7511221590909	-0.696359313241109	0.000382226469182991	0.00344003822264692
Post	KIAA0040	6	20	0.726814492753623	0.870957142857143	-0.14414265010352	0.324397341788646	0.364947009512227
Post	ProlifScore	6	20	-0.143303938251941	0.0315194066383621	-0.174823344890304	0.175589627763541	0.225758092838838
Post	ExhaustScore	6	20	-0.187175516477232	-0.0442031887124355	-0.142972327764796	0.0330712765495374	0.0744103722364592
Post	GlycoScore	6	20	-0.0728954431626279	0.143991088617346	-0.216886531779974	0.00337054250097728	0.0101116275029319
