gene	timepoint	n_R	n_NR	median_R	median_NR	diff	p	detection	FDR
GAPDH	Post	8	20	9.49077169274538	11.2574325203252	-1.76666082757982	0.0025861417165765	95.1	0.0248683147233872
ALDOA	Post	8	20	6.78635408135408	8.16195588235294	-1.37560180099886	0.0046890307759873	78.6	0.0248683147233872
ENO1	Post	8	20	5.58502311522048	7.14965170278638	-1.5646285875659	0.00565231869579696	74.2	0.0248683147233872
TPI1	Post	8	20	4.44597933070866	6.86208123569794	-2.41610190498928	0.00565231869579696	64.9	0.0248683147233872
LDHA	Post	8	20	5.94849082934609	7.20146514935989	-1.25297432001379	0.00678226765183287	74.8	0.0248683147233872
PFKP	Post	8	20	1.60579933954934	2.53839660657476	-0.932597267025422	0.00678226765183287	32.3	0.0248683147233872
PGAM1	Post	8	20	3.49478228228228	5.15294172932331	-1.65815944704103	0.00809367765889505	53.3	0.0254372726422416
PKM	Post	8	20	3.77014402560455	5.734	-1.96385597439545	0.00961743570439222	71.1	0.0264479481870786
GPI	Post	8	20	3.94434743954481	4.70825206398349	-0.76390462443868	0.0246844942497116	57.1	0.0603398748326285
PFKL	Post	8	20	1.93730102149394	2.48884242424242	-0.551541402748489	0.0327517892735284	31.9	0.0720539364017625
PGK1	Post	8	20	6.24035769230769	7.16293859649123	-0.922580904183532	0.0375206114336549	72.7	0.0750412228673098
SLC2A1	Post	8	20	0.927589618731869	1.22256502187652	-0.29497540314465	0.0990622903666382	15.5	0.181614199005503
HK1	Post	8	20	1.62604649925516	2.07292258748674	-0.446876088231583	0.149973697799785	29.5	0.253801642430405
ENO2	Post	8	20	0.74946217948718	0.934966509988249	-0.18550433050107	0.16525181742573	14.9	0.259681427383291
ALDOC	Post	8	20	0.456187486699298	0.688951238390093	-0.232763751690795	0.274162461653264	8.6	0.402104943758121
PGM1	Post	8	20	0.480970419238136	0.623421052631579	-0.142450633393443	0.46880398184746	9.2	0.644605475040258
HK3	Post	8	20	0.012979797979798	0	0.012979797979798	0.553929983500602	1.4	0.691947093879461
SLC2A3	Post	8	20	5.3287955465587	5.62064454614798	-0.291848999589275	0.566138531355923	65	0.691947093879461
PFKFB4	Post	8	20	0.0244488188976378	0.0640121212121212	-0.0395633023144834	0.655671549912595	1.3	0.739008688573906
PFKFB3	Post	8	20	2.45855263157895	2.32185937040306	0.136693261175888	0.671826080521733	39.1	0.739008688573906
HK2	Post	8	20	0.165536437246964	0.177315922381712	-0.0117794851347483	0.72181655516881	6.1	0.756188772081611
PFKM	Post	8	20	0.212823613086771	0.214898717487714	-0.0020751044009433	0.980138701877832	4.5	0.980138701877832
PGAM1	Pre	9	10	3.51727272727273	5.42408496732026	-1.90681224004753	0.00145056182207885	53.3	0.0319123600857347
GAPDH	Pre	9	10	9.55720930232558	11.2686589113257	-1.71144960900014	0.00413518370174717	95.1	0.041597205683893
PGM1	Pre	9	10	0.254	0.622479716024341	-0.368479716024341	0.00567234622962177	9.2	0.041597205683893
TPI1	Pre	9	10	5.13488	7.16420125932836	-2.02932125932836	0.0076208621100262	64.9	0.0419147416051441
PGK1	Pre	9	10	5.46698795180723	7.27488511029412	-1.80789715848689	0.0279287276191301	72.7	0.122886401524172
HK1	Pre	9	10	1.60111111111111	1.99132638888889	-0.390215277777777	0.0349866851414839	29.5	0.128284512185441
ALDOA	Pre	9	10	7.21872727272727	8.21463141025641	-0.99590413752914	0.0652536318170993	78.6	0.205082842853741
PKM	Pre	9	10	4.88088235294118	5.27877450980392	-0.397892156862745	0.094719521964104	71.1	0.248059061681353
ENO1	Pre	9	10	6.10046511627907	6.81500548726953	-0.714540370990462	0.112754118946069	74.2	0.248059061681353
PFKP	Pre	9	10	1.53612403100775	2.28960885229027	-0.753484821282521	0.112754118946069	32.3	0.248059061681353
ENO2	Pre	9	10	0.613909090909091	1.09813241106719	-0.484223320158103	0.156400874667129	14.9	0.264678403282833
GPI	Pre	9	10	3.78162790697674	4.60994689542484	-0.828318988448093	0.156400874667129	57.1	0.264678403282833
LDHA	Pre	9	10	6.39945736434108	7.65070676031607	-1.25124939597498	0.156400874667129	74.8	0.264678403282833
SLC2A1	Pre	9	10	0.812363636363637	1.21433418843284	-0.401970552069199	0.182316135876507	15.5	0.286496784948797
ALDOC	Pre	9	10	0.921084337349397	0.510395220588235	0.410689116761162	0.277511961722488	8.6	0.407017543859649
HK2	Pre	9	10	0.186829268292683	0.264159234485321	-0.0773299661926385	0.315378120331681	6.1	0.433644915456061
PFKL	Pre	9	10	2.06219512195122	1.99179525862069	0.0703998633305296	0.356232003290827	31.9	0.461006121905776
SLC2A3	Pre	9	10	6.14829268292683	4.99784068786502	1.15045199506181	0.446967892788326	65	0.546294091185732
PFKFB3	Pre	9	10	1.77554545454545	2.4345073404856	-0.658961885940147	0.548961874039274	39.1	0.635640064677054
PFKM	Pre	9	10	0.217317073170732	0.268505434782609	-0.051188361611877	0.624053969495896	4.5	0.686459366445486
HK3	Pre	9	10	0	0.0096875	-0.0096875	0.791112911979238	1.4	0.820250099220475
PFKFB4	Pre	9	10	0	0	0	0.820250099220475	1.3	0.820250099220475
