timepoint	gene	score	n	rho	p	FDR
Pre	ZFYVE19	ProlifScore	19	0.319298245614035	0.182451333118187	0.27367699967728
Pre	ZFYVE19	ExhaustScore	19	0.13859649122807	0.570275825717875	0.68433099086145
Pre	SMC2	ProlifScore	19	0.692982456140351	0.00138007987388649	0.00828047924331896
Pre	SMC2	ExhaustScore	19	0.270175438596491	0.262201261553906	0.39330189233086
Pre	SPSB2	ProlifScore	19	0.217926522846623	0.370107792109542	0.44412935053145
Pre	SPSB2	ExhaustScore	19	-0.397188662607555	0.0922084225069101	0.18441684501382
Pre	TPI1	ProlifScore	19	0.549122807017544	0.0163922397632871	0.0491767192898613
Pre	TPI1	ExhaustScore	19	0.726315789473684	0.000629406991392299	0.00377644194835379
Pre	HLA-C	ProlifScore	19	0.142105263157895	0.560424035002957	0.560424035002957
Pre	HLA-C	ExhaustScore	19	0.468421052631579	0.044755626017842	0.134266878053526
Pre	KIAA0040	ProlifScore	19	0.419298245614035	0.0752591893271396	0.150518378654279
Pre	KIAA0040	ExhaustScore	19	0.0263157894736842	0.916768959943855	0.916768959943855
Post	ZFYVE19	ProlifScore	28	0.395183360700602	0.0382921566413365	0.076584313282673
Post	ZFYVE19	ExhaustScore	28	0.56048166392994	0.00226787273832568	0.00680361821497704
Post	SMC2	ProlifScore	28	0.811713191023536	1.6387377894379e-06	9.83242673662739e-06
Post	SMC2	ExhaustScore	28	0.397372742200328	0.0371619702584998	0.0557429553877498
Post	SPSB2	ProlifScore	28	0.278051450465244	0.151658645773364	0.181990374928036
Post	SPSB2	ExhaustScore	28	0.287903667214012	0.137228667764348	0.164674401317218
Post	TPI1	ProlifScore	28	0.745484400656815	9.99883985024709e-06	2.99965195507413e-05
Post	TPI1	ExhaustScore	28	0.616858237547893	0.000614273626960992	0.00368564176176595
Post	HLA-C	ProlifScore	28	-0.119868637110016	0.541945837578487	0.541945837578487
Post	HLA-C	ExhaustScore	28	0.200875752599891	0.303963490781886	0.303963490781886
Post	KIAA0040	ProlifScore	28	0.281882868089765	0.145921326726529	0.181990374928036
Post	KIAA0040	ExhaustScore	28	0.512315270935961	0.00590473907296588	0.0118094781459318
