sample	n	treatment	ZFYVE19	SMC2	SPSB2	TPI1	HLA-C	KIAA0040	ProlifScore	ExhaustScore
Mel88	44	post.treatment	0.989419225210565	0.258076161282382	0.170086722210551	3.900149926803	8.92633386199364	1.27338004350408	-0.0678725240713396	-0.0311112233566654
Mel80	94	treatment.naive	0.609426849195654	0.827232010475325	0.13250348106707	3.75693274998917	8.26160110306611	0.516948486721765	-0.0649530649807785	0.237021281381557
Mel75	50	post.treatment	0.977507758370198	0.141749256825007	0.146438561897747	3.98402088691316	9.29355512769799	1.30416206044119	-0.0708140388361574	0.054623054948723
Mel89	30	treatment.naive	0.136248761375011	0.708598468227831	0.0861654166907052	3.18605897370647	8.00484374398159	0.85180460671308	0.233286364474561	-0.230635190211871
Mel72	50	post.treatment	0.172877123795494	0.290996896381777	0.241855142818397	2.18126998806094	7.31688964832115	0.887297613495254	-0.209280349026536	-0.469147441455588
Mel79	48	treatment.naive	0.177574207417854	0.527942879109947	0.0851554758593821	2.56095667517845	7.1542066470209	0.61801913011621	-0.0866175597662059	-0.0509362024508461
Mel60	34	post.treatment	0.0682920027908048	0.393127123948406	0	2.70619502521644	7.27899823430502	0.228863520986019	-0.0612840200298146	-0.158297465804935
Mel58	23	post.treatment	0.463361671720926	0.321405105338207	0	3.66412536735449	7.96221528637625	0.481890405536167	-0.153838381791769	-0.349802899465079
Mel53	41	treatment.naive	0.28571330530893	0.323073128792017	0.377712354468013	4.38488647624142	8.75709550861005	0.922667877473877	-0.028170592456057	-0.203800130976648
Mel84	25	treatment.naive	0.466613436687407	0.112294196882304	0	2.55275310813864	7.71509937832266	0.392100654604849	-0.0694373712814549	-0.334122500299771
Mel94	60	post.treatment	0.405204966963795	0.527661207622746	0.341283354386049	1.88227487282662	8.51916120571503	1.05246394172342	-0.0951112707799245	-0.338363883870941
Mel194	23	post.treatment	0.344298401620635	0.773061374295437	0.623634875554162	5.75157927099939	10.6027958936897	2.14782379776587	0.336214651989389	0.477881799795483
Mel102	47	post.treatment	1.10670323514364	1.26260902764596	0.451228118459575	7.62867669539024	10.4532873090873	1.06262623642413	0.494106940400951	0.711257832109686
Mel105	38	treatment.naive	0.282492358426996	0.295304924243811	0.452432814219033	4.39931862767543	10.0089404218702	1.30533011794582	-0.143668209470228	-0.045300948151458
Mel478	47	treatment.naive	0.0887218085413258	0	0.336444238828141	5.92943690047658	9.95822688768439	1.3329132111656	-0.12379977436828	-0.00526929284365329
Mel04.3	21	post.treatment	0.335447339017069	0.34909127991022	0.244251572235475	5.43716211717437	10.5517275115799	0.797814503695672	-0.130514896482635	0.0484541647120838
