SYMBOL	ENSEMBL
SLC2A1	ENSG00000117394
SLC2A3	ENSG00000059804
HK1	ENSG00000156515
HK2	ENSG00000159399
HK3	ENSG00000160883
GPI	ENSG00000105220
GPI	ENSG00000282019
PFKL	ENSG00000141959
PFKM	ENSG00000152556
PFKP	ENSG00000067057
ALDOA	ENSG00000149925
ALDOB	ENSG00000136872
ALDOC	ENSG00000109107
TPI1	ENSG00000111669
GAPDH	ENSG00000111640
PGK1	ENSG00000102144
PGAM1	ENSG00000171314
ENO1	ENSG00000074800
ENO2	ENSG00000111674
ENO3	ENSG00000108515
PKM	ENSG00000067225
PKLR	ENSG00000143627
PKLR	ENSG00000262785
LDHA	ENSG00000134333
LDHA	ENSG00000288299
LDHB	ENSG00000111716
PGM1	ENSG00000079739
PFKFB3	ENSG00000170525
PFKFB4	ENSG00000114268
SLC16A1	ENSG00000155380
SLC16A1	ENSG00000281917
SLC16A3	ENSG00000141526
