gene	expected	rest	act_2.5	act_5	act_15	rho	p
IL2RA	up	27.84	936.75	1248.55	1084.78	0.6790997501017324	0.003815772757557742
CD69	up	91.22	2202.93	1375.11	593.64	0.20615528128088303	0.4436676345185037
MYC	up	18.36	206.53	227.18	130.79	0.3516766563026828	0.18163300030740817
IFNG	up	1.99	172.45	259.61	489.5	0.7882407813680822	0.00028641823090288815
IL2	up	0.54	476.69	997.02	1306.17	0.7276068751089989	0.0013996090049401776
TNFRSF9	up	1.32	55.92	99.88	73.68	0.6790997501017324	0.003815772757557742
BATF	up	33.17	708.86	662.36	250.95	0.27891596879178293	0.2955112361589246
SELL	down	186.67	392.55	345.39	133.47	-0.2910427500435996	0.27411756741925714
CCR7	down	183.92	70.03	75.17	139.18	-0.18190171877724973	0.5001556582030133
TCF7	down	390.05	120.99	66.77	67.21	-0.8246211251235321	8.489517830582215e-05
KLF2	down	100.47	33.64	15.63	7.16	-0.9095085938862487	1.0459383433239718e-06
LEF1	down	1279.76	900.48	813.95	600.57	-0.9216353751380653	3.9482464020797643e-07
