module	kind	smd	exceeds_null
Activation	biological	-0.0032381191588314612	False
Cytotoxic	biological	-0.025191576694204982	False
Exhaustion	biological	-0.06189305745881451	False
IFN_response	biological	-0.06282961697867692	False
OXPHOS	biological	0.21246747271602773	True
Proliferation	biological	0.11800425776736506	True
Tfh	biological	0.03938435590121812	False
Th1	biological	0.04566710126586845	False
Th17	biological	0.011923869531142724	False
Th2	biological	0.00515923404862192	False
Treg	biological	0.005557641678189967	False
