gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent	detect
SLC2A1	2.146408256224861	2.293147097508944	2.2311194675699624	2.0404369938634663	2.1777779537918085	4	True	0.08123593206466134
HK2	1.7599464868027184	2.1336393325795635	1.8174911655269055	1.9726141466355809	1.9209227828861921	4	True	0.19514952214571987
PFKL	1.7019660838270871	1.2279975216015053	2.732468782063965	1.8029493736451334	1.8663454402844228	4	True	0.0737671373030489
GPI	1.0612092319651887	1.267967642979065	1.4109958861207055	1.4212806732467682	1.2903633585779317	4	True	0.2777264713290236
HK1	1.2204067518094137	1.292289872366355	1.2244958239456567	1.2956926938248021	1.2582212854865569	4	True	0.30652338174796406
PGAM1	0.8285886570427601	1.3809651178399789	1.2365486589137036	1.5099549020864775	1.23901433397073	4	True	0.28578768882951394
SLC2A3	1.4299875390147623	1.4058201240016504	0.9865755365416429	1.1280370069168248	1.23760505161872	4	True	0.2548598322078985
PFKFB3	1.4359959974229624	1.0462517786353263	1.2192919469395311	1.1950624518312682	1.2241505437072722	4	True	0.2755269081235932
TPI1	0.7218261662504164	1.3708951370643527	1.0406777037035408	1.3865075793590758	1.1299766465943464	4	True	0.3469324838146131
PFKP	0.9263368377493135	1.1996553392638987	1.0863150872745377	1.1035996403541464	1.0789767261604741	4	True	0.3798170794368513
LDHA	0.7500783585206133	1.2546472126344563	0.9813347270214118	1.2744906261517126	1.0651377310820485	4	True	0.4260610420306238
PGK1	0.8237160760741755	1.1857527832943513	0.9602075323864165	1.2167897631527511	1.0466165387269235	4	True	0.3730346315897647
GAPDH	0.6230068166916285	1.1947057034447228	0.8769136330247059	1.3342463063526857	1.0072181148784356	4	True	0.5063200082211489
PKM	0.6631102378259296	1.0375175515356514	0.8837100183961917	1.0359036361401066	0.9050603609744697	4	True	0.5292364607953961
ENO1	0.5265417230831345	0.9851459139037612	0.7449426822849606	0.9531884984125338	0.8024547044210976	4	True	0.632309115198849
FABP5	0.2610909353521921	1.109062459964226	0.5855198227827297	0.8610798882112495	0.7041882765775993	4	True	0.1870311376014798
PPP1R14B	0.25266885603728056	0.907657033732869	0.6549728387037818	0.9923821488252791	0.7019202193248026	4	True	0.18671815968432542
ZBED2	0.47881668200092564	0.8011090757979397	0.8100662326431987	0.712490652752989	0.7006206607987632	4	True	0.07824699857274788
DDIT4	0.6961436786553661	1.0707457944099914	0.5897588006424308	0.4256069498299187	0.6955638058844268	4	True	0.16658102969890043
NPM3	0.3593622903833996	1.0000426899579833	0.499606571314753	0.8888009304401766	0.6869531205240781	4	True	0.08508889117254136
TUBA1B	0.41558189366950243	0.7930687714639327	0.5988220427595888	0.9052828602284958	0.6781888920303799	4	True	0.3737539821190011
CD3EAP	0.28869884754674646	0.926648027600718	0.6374768382077873	0.8172804387831516	0.6675260380346009	4	True	0.09927037303463158
ARL2	0.248692936522121	0.757713317020007	0.7559866241380473	0.8585281990850129	0.655230269191297	4	True	0.050373604231382756
PRDX1	0.25451965914192565	0.8259889853261723	0.5976245275998869	0.9150791369344866	0.648303077250618	4	True	0.3468297194532936
NME1	0.2917736559302961	0.9202752805644258	0.4971393874711993	0.8727926025123814	0.6454952316195757	4	True	0.2145719864351043
CCL20	0.35429957475702184	0.6445248838553991	0.9848318307574739	0.5680381303464825	0.6379236049290944	4	True	0.08154286883568651
HSPE1	0.2087774141882258	1.0194086440088352	0.4507448698263618	0.8658419531059458	0.6361932202823422	4	True	0.36984893638886035
WDR18	0.33848932473046556	0.7018634975042838	0.6785932632579216	0.8062178486271956	0.6312909835299667	4	True	0.05518446202856849
SLC25A5	0.3046062337821705	0.8808599727914468	0.5387436337456282	0.795624048788698	0.6299584722769859	4	True	0.22525948001233173
RAN	0.313243607567735	0.8350669248060746	0.5837252229932561	0.7533682537162556	0.6213510022708304	4	True	0.43736512177576814
MRPL12	0.393196417169464	0.7951936984135982	0.6557651669239359	0.6236268631843068	0.6169455364228262	4	True	0.14515993619343465
DCTPP1	0.35767807325052703	0.7741420985952449	0.5295444825548627	0.7963218554831585	0.6144216274709483	4	True	0.09855102250539513
DUSP2	0.2913234870667252	0.9758008809013706	0.5227914324139784	0.6546692933779201	0.6111462734399986	4	True	0.1815846264515466
RANBP1	0.24728599285859287	0.8789823738983171	0.5658703206889338	0.7443118387232311	0.6091126315422687	4	True	0.233733523633616
TUBA4A	0.43614840778027497	0.7374462945047623	0.5816826034577818	0.6759097664438589	0.6077967680466695	4	True	0.10721182100579296
SH3BGRL3	0.36261546160681013	0.6774461417142797	0.48418286288456347	0.9036595699089418	0.6069760090286488	4	True	0.15321971287045588
PHB	0.2691126990957211	0.8132210971192433	0.4980719782798061	0.815042735166471	0.5988621274153103	4	True	0.2455040591922721
PRELID1	0.321414990932616	0.7099611420752858	0.48273127560202117	0.8582265998638284	0.5930835021184379	4	True	0.1427252119889178
CDK4	0.44306734431413425	0.9018848043025982	0.4148578353273807	0.5715945896191166	0.5828511433908075	4	True	0.10893022299866406
NAA10	0.3392703567842612	0.8285996320518514	0.42441243609593265	0.7352439100744461	0.5818815837516229	4	True	0.10393753673075308
PNP	0.44636118068610814	0.7705636437699733	0.5117548440124187	0.5966633743459194	0.5813357607036049	4	True	0.10158676853328856
PRMT1	0.30435931765716195	0.816113799402482	0.5583449858427524	0.6453698069822578	0.5810469774711635	4	True	0.2791080053437468
ZNF593	0.30462337824714836	0.7093040057407934	0.5566770722780225	0.752402044297899	0.5807516251409658	4	True	0.08940499434796012
TUBB	0.3950214141966734	0.6716820853778519	0.5508419250625001	0.7028469985412581	0.5800981057945709	4	True	0.36162778748330077
NUDT1	0.2258309896620132	0.8758970700184824	0.4810566673971726	0.7354325475545	0.5795543186580421	4	True	0.05415681841537355
TUBA1C	0.36028696321870035	0.7839748259971274	0.5672411688964063	0.6043840524402755	0.5789717526381274	4	True	0.23050046243962594
ALYREF	0.2667215514315898	0.7017245506215418	0.5771582915819267	0.7638664272016934	0.5773677052091879	4	True	0.05499118461925951
IMPDH2	0.3908976652147829	0.7626153254885758	0.47830612273184	0.6723734810148085	0.5760481486125018	4	True	0.21025588325968553
METTL26	0.27803289956178584	0.8487560009096241	0.45503584181705903	0.7160216672159985	0.5744616023761169	4	True	0.09536532730449081
C19orf53	0.32760242308293963	0.7207053986833112	0.5034887548648307	0.7356622794429034	0.5718647140184963	4	True	0.1554865250608681
NHP2	0.29354282561679845	0.7395077131963267	0.4234323019864273	0.8264596245008551	0.5707356163251018	4	True	0.1891891891891892
STOML2	0.23899785735356296	0.7325319521178106	0.4254826530907491	0.8843340600217496	0.5703366306459681	4	True	0.09159600369406432
CALM3	0.3890341891155717	0.7648097305285975	0.4619287453272413	0.6614607211488437	0.5693083465300636	4	True	0.10091512047687012
MIF	0.28832679974723485	0.8014342039328006	0.4134277749431589	0.7703715368290331	0.5683900788630569	4	True	0.44568903504264723
HSP90AB1	0.33059670853895484	0.6900030792585248	0.5198441375953269	0.7324035120384855	0.5682118593578229	4	True	0.7812146747507964
EIF5A	0.28874803469755167	0.7688379845610558	0.5401377348477694	0.674323477996129	0.5680118080256265	4	True	0.36974617202754084
ABCF2	0.2808585033684114	0.637675972700834	0.5605640856968882	0.7901727518795644	0.5673178284114245	4	True	0.07698765846696332
FKBP4	0.3090439866283154	0.7280707140231819	0.4592441576667222	0.7718290898556598	0.5670469870434698	4	True	0.18456479292981195
RPL8	0.3106091260672775	0.7219340182295038	0.4725308948819989	0.747398679506462	0.5631181796713105	4	True	0.650601171513719
BOP1	0.2761436807970896	0.6584673382409578	0.6497200940636263	0.6637071500587927	0.5620095657901166	4	True	0.08919946562532113
LTA	0.03639566366890989	0.8511249308533767	0.636405599181837	0.7222661573375224	0.5615480877604115	4	True	0.3848525331415065
PFN1	0.265249022051108	0.7008238736031386	0.5397324573670311	0.7374056662834805	0.5608027548261896	4	True	0.56284107127865
TOMM5	0.2747454661142964	0.7885812069244302	0.6273032041160544	0.5512598135719842	0.5604724226816913	4	True	0.16678655842153942
PA2G4	0.2588545937624357	0.7756771305759564	0.5078162653095807	0.6983803288043224	0.5601820796130739	4	True	0.46161751104716886
EBNA1BP2	0.3370138491526107	0.8461819220579018	0.5117599054410381	0.5446650591786194	0.5599051839575425	4	True	0.22145719864351043
UBE2S	0.27830954490847204	0.7994095250604474	0.46799656045409266	0.689966104013535	0.5589204336091367	4	True	0.12030895810595248
MRPL41	0.2766985233412587	0.8268978131975686	0.5274081570452135	0.5974142504944931	0.5571046860196335	4	True	0.11509608467783372
LYAR	0.2467980301460231	0.7784322127824862	0.542373883981521	0.6533523880630666	0.5552391287432742	4	True	0.23658802787339434
BANF1	0.31386243496743027	0.6866612795635139	0.5169918435745691	0.7021854965800206	0.5549252636713834	4	True	0.1406263118126102
