up	down
SLC2A1	ST8SIA1
HK2	SESN3
PFKL	ZBTB20
GPI	LINC00861
HK1	PLCL1
PGAM1	DPYD
SLC2A3	CYSLTR1
PFKFB3	MYB
TPI1	EPSTI1
PFKP	SYNE2
LDHA	TOX
PGK1	CSGALNACT1
GAPDH	AK5
PKM	TXK
ENO1	MIR181A1HG
FABP5	LINC00886
PPP1R14B	SCML4
ZBED2	FAM214A
DDIT4	IKZF2
NPM3	PRKN
TUBA1B	KLHL24
CD3EAP	PELI2
ARL2	SLFN5
PRDX1	TRANK1
NME1	TC2N
CCL20	UTRN
HSPE1	BCAS3
WDR18	RIPOR2
SLC25A5	MARCHF8
RAN	RALGPS2
MRPL12	CREBRF
DCTPP1	XYLT1
DUSP2	FAM102B
RANBP1	GVINP1
TUBA4A	MAN1C1
SH3BGRL3	APOLD1
PHB	ZC3H6
PRELID1	RGS1
CDK4	CAMK4
NAA10	IPCEF1
PNP	AK9
PRMT1	OPRM1
ZNF593	GPR155
TUBB	BTN3A1
NUDT1	KLF12
TUBA1C	ATM
ALYREF	GLCCI1
IMPDH2	CDK19
METTL26	FYB1
C19orf53	LINC00623
NHP2	TESK2
STOML2	ATXN7L1
CALM3	EVI2B
MIF	PRKACB
HSP90AB1	LINC01550
EIF5A	PRMT2
ABCF2	TRIM22
FKBP4	LINC02328
RPL8	PYHIN1
BOP1	PARP4
LTA	FAAH2
PFN1	IFIH1
TOMM5	AOAH
PA2G4	LINC00869
EBNA1BP2	SORL1
UBE2S	TDRD7
MRPL41	RNF125
LYAR	SYNE1
BANF1	CPPED1
TOMM6	TIGIT
RRP9	KLF7
TIMM13	SSBP2
CCDC124	KLHL5
MRPL36	ITGA4
EEF2	CDC14A
FAM174C	TMEM63A
RBM8A	PARP15
TRAPPC2L	GMDS-DT
PUF60	LRRC37B
PDCD5	ZHX2
MRPL17	PCMTD1
NPM1	GRAP2
C1QBP	NLGN4Y
PTMA	PPP3CA
H2AZ1	GAB2
HSD17B10	ARL4C
TIMM8A	OMA1
RPS19BP1	C11orf65
FKBP1A	PIK3IP1
S100A11	TRAT1
FBL	TFDP2
RPL35	TNRC6B
PHB2	UBASH3A
PSMB6	ATP2B4
SLC25A6	TXNIP
CORO1A	SMAD3
KPNA2	PDE3B
ODC1	AKT3
RACK1	BBS2
EIF3I	ALPK1
CSNK2B	PIK3CA
POP7	BBS9
ACTG1	CCDC92
APRT	RAB30
HMGA1	GIMAP4
PCNA	ATXN1
CCDC85B	P2RY10
GADD45GIP1	C11orf80
GRWD1	NR3C2
TNF	NMRK1
HSP90AA1	PARP14
RPL7A	MARCHF3
ILF2	N4BP2L1
ATP5MF	ZNRF2
PFDN6	HBP1
OAZ1	LINC01619
TRMT112	ACYP2
TUBB4B	MPP7
SPRY1	TMEM140
POLR2I	PARP11
MCM2	IQCH-AS1
PFDN2	WIPF1
ATP5MC3	STAMBPL1
CHCHD10	TTC28-AS1
NCL	OPTN
MRTO4	GPRIN3
MCM4	DDX58
SLC29A1	TTN
RPL7	DERA
ARPC4	SNRK
POLR2H	SNED1
MRPS34	WDTC1
PPIF	TLE4
HSPD1	TNIK
BNIP3	ZNF652
PSMB4	LOC648987
CFL1	IL21-AS1
GPN3	CCDC7
ATP5F1D	NIBAN1
DDX39A	AHNAK
ATP5F1B	ZBTB38
IER3	IFT88
MRPL11	NELL2
ADRM1	FAS
NDUFAF3	AUH
TRIM28	BAZ2B
TOMM22	STAU2
RPL14	KLF3
RPS15	NEDD4L
FAU	LINC01145
YBX1	MAP3K5
MRPL23	SENP7
SEMA7A	PHF21A
HSPA8	LY9
CD40LG	ZER1
GRPEL1	SESN1
CYCS	TSC22D1
AURKAIP1	AGO4
PPP1CA	DENND4C
PDCL3	KAT2B
SRM	MBD5
EEF1E1	TMEM156
CFAP298	FBXL17
NDUFB7	MAP3K1
CSRNP1	ZBTB10
YRDC	CD38
CHCHD2	EIF4E3
RPS17	LOC100506990
BCL2A1	SUN2
RPS5	LNPEP
CCT6A	SLCO3A1
FOSL1	KIFAP3
MRPL4	RIN3
NDUFB10	GBP5
ACTB	ABAT
TAGLN2	ARAP2
CCT2	MBNL2
ARHGDIA	SH3BGRL
CCT5	MGAT4A
POLR2F	KIZ
MLF2	PLCL2
MTFP1	SOS1
DKC1	MIR3142HG
IFITM2	PLAC8
MRPS12	ZNF569
RPL23	PARP12
RPL3	PARP8
NOP16	TCF7
PSMC3	SWT1
TXNDC17	CPQ
NOP10	RFX3
LRRC59	ABCA10
TOMM40	ZC3H12D
IMP3	BICRAL
CISD1	TXNDC16
RPL15	KIAA0586
RPL36	PPP2R5C
PPAN	BMPR2
RPS9	ADD3
ZNRD2	RAP2C-AS1
