motif	id	fg_frac	bg_frac	odds	p	FDR	contrast
BATF::JUN	MA0462.2	0.393	0.19667864667245	2.64414654690411	1.20979650947673e-70	7.6580119049877e-68	activation_opening
BATF	MA1634.1	0.385	0.195687197917958	2.57276764896296	2.43098560620206e-66	7.69406944362952e-64	activation_opening
JUN(var.2)	MA0489.1	0.389	0.203990581236832	2.48411362025206	1.89794240166454e-62	4.00465846751219e-60	activation_opening
BATF3	MA0835.2	0.376	0.193828231503284	2.50581708628344	3.32299500841226e-62	5.25863960081241e-60	activation_opening
FOS	MA0476.1	0.3775	0.202751270293717	2.38432298791496	1.58644325613306e-56	2.00843716226446e-54	activation_opening
JUNB	MA0490.2	0.3315	0.168546288263725	2.44608737578307	1.16531289878222e-54	1.22940510821524e-52	activation_opening
FOSL1	MA0477.2	0.345	0.18242657082662	2.36016976131983	2.63882818707174e-52	2.38625463202345e-50	activation_opening
FOS::JUND	MA1141.1	0.36	0.198661544181435	2.26873986677835	1.77911494041263e-49	1.40772469660149e-47	activation_opening
FOSL2	MA0478.1	0.355	0.195439335729335	2.26555941543492	6.76679628762931e-49	4.75931338896595e-47	activation_opening
FOSL1::JUND	MA1142.1	0.3065	0.158879662907423	2.33943240394625	2.23952891354963e-47	1.41762180227691e-45	activation_opening
JUND	MA0491.2	0.315	0.166067666377494	2.30904730642618	5.20182651113287e-47	2.99341471049737e-45	activation_opening
FOSL1::JUN	MA1128.1	0.3425	0.191969265088611	2.19241628054033	1.79950563266914e-44	9.49239221232971e-43	activation_opening
FOSL2::JUN	MA1130.1	0.3145	0.177841120337093	2.12080513344285	5.58369542250702e-39	2.71883015572842e-37	activation_opening
JDP2	MA0655.1	0.258	0.136448134837031	2.20037859066206	9.81524719440938e-37	4.43789391004367e-35	activation_opening
FOSB::JUNB	MA1135.1	0.2845	0.158012145247243	2.11861407703191	2.84529963686725e-36	1.20071644675798e-34	activation_opening
FOS::JUNB	MA1134.1	0.286	0.15937538728467	2.11257812343365	3.60073850637549e-36	1.4245421715848e-34	activation_opening
