motif	id	fg_frac	bg_frac	odds	p	FDR	contrast
BATF::JUN	MA0462.2	0.415	0.242145392401735	2.2200509580665	1.57252353185417e-50	9.9540739566369e-48	glyco_high
BATF	MA1634.1	0.4045	0.239253319311161	2.15964299958554	8.35669980301326e-47	2.6448954876537e-44	glyco_high
JUN(var.2)	MA0489.1	0.416	0.250164322334692	2.13494042497858	3.20979017745773e-46	6.7726572744358e-44	glyco_high
BATF3	MA0835.2	0.386	0.231497305113711	2.08681672914922	4.6493257211545e-42	7.357557953727e-40	glyco_high
FOSL2	MA0478.1	0.3985	0.24464309188905	2.04541061060585	9.96323034477467e-41	1.26134496164847e-38	glyco_high
FOS::JUND	MA1141.1	0.391	0.243459971079269	1.99496460475387	7.73483924859624e-38	8.16025540726903e-36	glyco_high
BACH1	MA1633.1	0.38	0.234783751807546	1.99746384255961	2.23353499571077e-37	2.01975378897845e-35	glyco_high
FOSL1::JUN	MA1128.1	0.3705	0.22991981070067	1.97117130403627	1.32044679472021e-35	1.04480352632237e-33	glyco_high
FOS	MA0476.1	0.3935	0.250164322334692	1.94459668824644	1.73194974469209e-35	1.2181379871001e-33	glyco_high
FOSL1	MA0477.2	0.36	0.224398580255028	1.94408376464314	9.09452100412988e-34	5.75683179561422e-32	glyco_high
FOSL2::JUN	MA1130.1	0.337	0.213881950834757	1.86814091224966	4.04881931119378e-29	2.3299114763506e-27	glyco_high
JUND	MA0491.2	0.32	0.200604706191666	1.8751673073938	1.69440573903599e-28	8.93799027341487e-27	glyco_high
FOS::JUN	MA0099.3	0.3115	0.19416327067175	1.8776388793757	4.0991920324693e-28	1.99599119734851e-26	glyco_high
JUNB	MA0490.2	0.327	0.207703431050348	1.85335052817857	5.93218705825645e-28	2.68219600562595e-26	glyco_high
FOSL2::JUND	MA1144.1	0.3045	0.189036413829368	1.87812178570209	1.01250770593922e-27	4.2727825190635e-26	glyco_high
JUN::JUNB	MA1132.1	0.277	0.168003154988826	1.89724104688602	9.87932836281864e-27	3.90850928354013e-25	glyco_high
FOSB::JUNB	MA1135.1	0.293	0.182594978309452	1.85513944780518	4.06803519317284e-26	1.5147448689873e-24	glyco_high
FOSL1::JUND	MA1142.1	0.3055	0.19534639148153	1.8118703208626	4.30688952018512e-25	1.5145894812651e-23	glyco_high
FOS::JUNB	MA1134.1	0.303	0.194426186407256	1.80113459137478	1.57438545774961e-24	5.24518944608158e-23	glyco_high
