motif	fg_frac	bg_frac	odds	p	FDR	contrast
BATF	0.199	0.132532493107523	1.62599556478209	3.94061316419192e-12	9.14363923601192e-10	glyco_high_actInvariant
JUN(var.2)	0.192	0.126624655376132	1.63881178986696	3.94808186779107e-12	9.14363923601192e-10	glyco_high_actInvariant
BATF::JUN	0.2035	0.136471051595116	1.61652853300953	4.33347831090612e-12	9.14363923601192e-10	glyco_high_actInvariant
FOSL2	0.1815	0.119141394249705	1.63933898125632	1.17148728424453e-11	1.85387862731696e-09	glyco_high_actInvariant
FOS	0.188	0.125640015754234	1.6111377067778	2.65783292440876e-11	2.58321391046548e-09	glyco_high_actInvariant
JUND	0.1585	0.101024025206774	1.67591661797439	2.67741635575138e-11	2.58321391046548e-09	glyco_high_actInvariant
BATF3	0.193	0.129972430090587	1.60079078144492	2.85663465612296e-11	2.58321391046548e-09	glyco_high_actInvariant
JUNB	0.1605	0.107916502560063	1.58030817881279	1.83296473405339e-09	1.31195954730969e-07	glyco_high_actInvariant
NFE2	0.139	0.0899960614415124	1.63229575218095	1.86534532792848e-09	1.31195954730969e-07	glyco_high_actInvariant
FOS::JUN	0.155	0.10358408822371	1.58730715714418	2.29746638357576e-09	1.32562207037538e-07	glyco_high_actInvariant
BACH1	0.203	0.144742024419063	1.50492056365259	2.30360865310098e-09	1.32562207037538e-07	glyco_high_actInvariant
FOS::JUND	0.178	0.123670736510437	1.53433606385294	3.41531545347347e-09	1.80157890170725e-07	glyco_high_actInvariant
FOSL1	0.1685	0.116384403308389	1.53843078840238	6.22457269353631e-09	3.03088808846807e-07	glyco_high_actInvariant
FOSL2::JUN	0.1595	0.108901142181961	1.55269969050955	7.1061092812476e-09	3.21297655359267e-07	glyco_high_actInvariant
FOSL1::JUN	0.1715	0.119732178022844	1.52176660285491	1.0681385969738e-08	4.50754487922943e-07	glyco_high_actInvariant
NFE2L1	0.1715	0.120322961795983	1.51327980649911	1.59747681749909e-08	6.32001765923077e-07	glyco_high_actInvariant
FOS::JUNB	0.1435	0.0976762504923198	1.54763720607474	3.83573963636117e-08	1.42824893518625e-06	glyco_high_actInvariant
FOSL1::JUND	0.1475	0.101417881055534	1.53289630525016	4.93038494147848e-08	1.73385203775327e-06	glyco_high_actInvariant
JDP2	0.1365	0.0923591965340685	1.55337070619032	5.88125526507802e-08	1.95938662252336e-06	glyco_high_actInvariant
FOSL2::JUNB	0.134	0.0905868452146514	1.55329496441921	7.4950318768584e-08	2.37217758902568e-06	glyco_high_actInvariant
FOSL2::JUND	0.136	0.0927530523828279	1.53955083785036	1.06137192210945e-07	3.1992782223585e-06	glyco_high_actInvariant
JUN::JUNB	0.132	0.0896022055927531	1.54503386494112	1.2465141878859e-07	3.58656127696261e-06	glyco_high_actInvariant
FOSL1::JUNB	0.1505	0.106538007089405	1.48565760741173	2.77716528730355e-07	7.64324185592671e-06	glyco_high_actInvariant
FOSB::JUNB	0.1415	0.0990547459629775	1.49903820851902	3.26401120707675e-07	8.60882955866493e-06	glyco_high_actInvariant
BACH2	0.129	0.0901929893658921	1.49390060954147	1.09841887553561e-06	2.78119659285616e-05	glyco_high_actInvariant
MAF::NFE2	0.173	0.131547853485624	1.38097766291634	5.94577622785424e-06	0.000144756782778144	glyco_high_actInvariant
POU3F2	0.1735	0.132138637258763	1.37867352185902	6.40934284467781e-06	0.000150263482247446	glyco_high_actInvariant
ZNF410	0.095	0.0645923591965341	1.52008237775135	9.52502082386475e-06	0.000215333506482371	glyco_high_actInvariant
POU3F1	0.185	0.144545096494683	1.34337673030146	1.78708224199443e-05	0.000390076916959475	glyco_high_actInvariant
TEAD1	0.157	0.122489168964159	1.33418737019281	8.1798237565338e-05	0.00172594281262863	glyco_high_actInvariant
POU1F1	0.1825	0.1463174478141	1.30248067226291	0.000110752391419842	0.00219660140353515	glyco_high_actInvariant
ZNF24	0.184	0.147695943284758	1.30121720393784	0.000111044620715837	0.00219660140353515	glyco_high_actInvariant
RORC	0.1045	0.0779834580543521	1.37964503414638	0.000243775649192903	0.00467606017997296	glyco_high_actInvariant
POU3F4	0.132	0.103190232374951	1.32162041346984	0.000359920816437005	0.00670087872954776	glyco_high_actInvariant
TEAD3	0.1375	0.108901142181961	1.30446010843955	0.000504454253358876	0.00912341549646195	glyco_high_actInvariant
POU4F2	0.164	0.13391098857818	1.26877380889765	0.00071135633890329	0.0125080156257162	glyco_high_actInvariant
RXRA::VDR	0.0905	0.0685309176841276	1.35242070307149	0.00108244674764322	0.0185186159799502	glyco_high_actInvariant
POU3F3	0.186	0.155573060259945	1.24019102247788	0.00114910844919732	0.0191417275879449	glyco_high_actInvariant
RUNX3	0.174	0.144545096494683	1.24661936039026	0.00120138051721443	0.0194993299332496	glyco_high_actInvariant
MAFK	0.274	0.239858211894447	1.19601115527802	0.00162979424930696	0.0257914939952826	glyco_high_actInvariant
ZBTB26	0.205	0.175265852697913	1.21333481983466	0.00216148178208192	0.0333711699526306	glyco_high_actInvariant
POU2F1	0.1605	0.13430484442694	1.23225527683117	0.00269808731391997	0.0406640302312224	glyco_high_actInvariant
ATF2	0.12	0.0976762504923198	1.25971509953203	0.00348900175210163	0.0513613513739612	glyco_high_actInvariant
TEAD4	0.148	0.123867664434817	1.22859076899895	0.00403514412097675	0.0580510506495064	glyco_high_actInvariant
JUND(var.2)	0.1185	0.0968885387948011	1.25304411744068	0.00436663420959666	0.0602917217120607	glyco_high_actInvariant
ZNF652	0.129	0.106538007089405	1.24197699815825	0.00438138893958103	0.0602917217120607	glyco_high_actInvariant
SOX2	0.119	0.0976762504923198	1.24780491721789	0.00494414042964931	0.0665881040844258	glyco_high_actInvariant
RORA(var.2)	0.1045	0.0846790074832611	1.26138594090493	0.00545192596736283	0.0718972736945972	glyco_high_actInvariant
NFATC4	0.1715	0.146908231587239	1.20198655409836	0.00576145295924255	0.0744285657796027	glyco_high_actInvariant
DPRX	0.0615	0.0464749901536038	1.34442863710695	0.00627987250078121	0.0788356224362142	glyco_high_actInvariant
HOXB3	0.1	0.0811343048444269	1.25836027007233	0.00677686801455127	0.0788356224362142	glyco_high_actInvariant
PPARG	0.103	0.0838912957857424	1.25393691457858	0.00683579764739146	0.0788356224362142	glyco_high_actInvariant
VAX1	0.066	0.050610476565577	1.32552695366738	0.00684985660978165	0.0788356224362142	glyco_high_actInvariant
VAX2	0.066	0.050610476565577	1.32552695366738	0.00684985660978165	0.0788356224362142	glyco_high_actInvariant
DRGX	0.066	0.050610476565577	1.32552695366738	0.00684985660978165	0.0788356224362142	glyco_high_actInvariant
SOX4	0.182	0.157542339503742	1.18973267396951	0.00719789738520884	0.0813619472292356	glyco_high_actInvariant
FOS::JUN(var.2)	0.068	0.0525797558093738	1.31463903272883	0.00753655237631874	0.0836953974422765	glyco_high_actInvariant
MAX	0.06	0.0456872784560851	1.33322909596154	0.00822899499924301	0.0886037327321062	glyco_high_actInvariant
FOXC2	0.2705	0.242615202835762	1.15751555060091	0.00825848377755808	0.0886037327321062	glyco_high_actInvariant
POU5F1	0.183	0.159117762898779	1.18366009482749	0.00862490328731891	0.0909927296812145	glyco_high_actInvariant
ZNF354C	0.357	0.327097282394644	1.14214700113299	0.00901210160652961	0.0935190215890696	glyco_high_actInvariant
PBX1	0.087	0.0703032690035447	1.26012487812841	0.0100259187182908	0.0990393921991426	glyco_high_actInvariant
POU4F3	0.1745	0.151634501772351	1.18261886740182	0.0100926918013241	0.0990393921991426	glyco_high_actInvariant
ZNF317	0.179	0.155966916108704	1.17982836746796	0.0103103029171216	0.0990393921991426	glyco_high_actInvariant
HOXA1	0.04	0.0287514769594329	1.40746161233568	0.0104828424602568	0.0990393921991426	glyco_high_actInvariant
HOXA5	0.04	0.0287514769594329	1.40746161233568	0.0104828424602568	0.0990393921991426	glyco_high_actInvariant
HOXB5	0.04	0.0287514769594329	1.40746161233568	0.0104828424602568	0.0990393921991426	glyco_high_actInvariant
