donor	Glyco	ctrl_XIST	ctrl_RPS4Y1	n_cells
HD1	0.1309757638532309	1.6493987571842041	-0.6086829982616285	3088
HD2	0.16371662705891793	1.7068159243005692	-0.6095801959301973	1439
P1	-0.03178874144862	-0.5302123826565519	-0.015933119692651026	1750
P2	-0.05085340650119394	-0.45491755687911895	-0.1767939519893418	2965
P3	-0.07541528963275694	-0.4629691810643976	0.07558834868801573	2812
P4	-0.06180005195304925	-0.4955859935989621	0.14375554207247113	1066
P5	-0.025817024799674272	-0.3084823485302266	0.33212096620245013	782
P6	0.0013561237002406264	-0.3586029992017601	0.21271200054339162	1558
P7	0.027145555010873602	-0.4526384148684416	0.49169981415509334	3050
P8	-0.08153975493561305	-0.466926159997207	0.31530516379432844	2703
