cases	n_eff	mean_hits	jaccard_genes	j_lo	j_hi	sensitivity	precision
1000	3994.937343294954	2.745	0.19633333333333333	0.0	0.3645454545454548	0.19649999999999998	0.925045045045045
2000	7979.774971274139	6.85	0.35303554778554774	0.25	0.5	0.371	0.8959583333333333
3000	11954.551135653497	8.165	0.41093947718947715	0.28538961038961036	0.6	0.43200000000000005	0.8654265873015874
4000	15919.303895226194	8.935	0.44175029137529137	0.3076923076923077	0.6	0.486	0.8625595238095238
5000	19874.071117077343	9.63	0.4739311521811521	0.3333333333333333	0.7	0.531	0.8546220723720723
6000	23818.89047778956	10.845	0.5289039502164502	0.35654761904761906	0.7272727272727273	0.585	0.8680800865800866
7500	29717.549231169007	12.22	0.5879430948953008	0.38461538461538464	0.8181818181818182	0.6859999999999999	0.8257087218337219
9000	35594.035326444464	14.03	0.6885916864997748	0.45454545454545453	0.9090909090909091	0.7919999999999999	0.8372308524808525
10000	39499.43624006537	15.315	0.7546128871128872	0.5384615384615384	1.0	0.8519999999999999	0.8631508140552258
11000	43395.07485948614	17.455	0.8070357277526395	0.615	1.0	0.924	0.880696817071817
12530	49336.590717152205	21.0	1.0	1.0	1.0	1.0	1.0
