trait	cases	frac	mean_hits	sensitivity	jaccard	j_lo	j_hi
Melanoma	1253	0.1	3.09	0.276	0.26745837495837493	0.1	0.4
Melanoma	2506	0.2	4.73	0.402	0.3770847485847486	0.25	0.5
Melanoma	3759	0.3	5.72	0.47200000000000003	0.4313210539460539	0.3333333333333333	0.6
Melanoma	5012	0.4	6.345	0.5269999999999999	0.47781647519147513	0.363474025974026	0.7
Melanoma	6265	0.5	7.145	0.6	0.5414003496503496	0.4	0.7272727272727273
Melanoma	7518	0.6	8.25	0.6794999999999999	0.5986766077060195	0.38461538461538464	0.8181818181818182
Melanoma	8771	0.7	8.87	0.7475	0.6612314907314908	0.45454545454545453	0.9002272727272728
Melanoma	10024	0.8	10.24	0.862	0.7493658424908426	0.5454545454545454	0.9113636363636368
Melanoma	11277	0.9	10.86	0.9440000000000001	0.8335725940725942	0.6666666666666666	1.0
Melanoma	12530	1.0	10.0	1.0	1.0	1.0	1.0
Lung	963	0.09990662931839403	0.435	0.028333333333333332	0.027825091575091568	0.0	0.08333333333333333
Lung	1927	0.19991700383857247	1.235	0.085	0.08336309523809524	0.0	0.16666666666666666
Lung	2891	0.2999273783587509	1.515	0.1075	0.1053827838827839	0.07142857142857142	0.25
Lung	3855	0.39993775287892935	1.88	0.13583333333333333	0.1329532967032967	0.07692307692307693	0.3083333333333335
Lung	4819	0.49994812739910777	2.74	0.19291666666666665	0.18543455074337425	0.07692307692307693	0.4166666666666667
Lung	5783	0.5999585019192862	3.665	0.26291666666666663	0.24917812702003878	0.08333333333333333	0.46153846153846156
Lung	6747	0.6999688764394647	5.56	0.3966666666666667	0.36913607548282473	0.15208333333333338	0.6161764705882355
Lung	7711	0.7999792509596431	7.815	0.55625	0.506518485599368	0.25	0.75
Lung	8675	0.8999896254798215	9.765	0.7270833333333333	0.6699285848954966	0.4166666666666667	0.9166666666666666
Lung	9639	1.0	12.0	1.0	1.0	1.0	1.0
Colorectal	1179	0.1	0.115	0.01	0.009642857142857142	0.0	0.16666666666666666
Colorectal	2358	0.2	0.53	0.06333333333333332	0.0600297619047619	0.0	0.3333333333333333
Colorectal	3537	0.3	1.355	0.19166666666666665	0.18237103174603175	0.0	0.5
Colorectal	4716	0.4	2.45	0.3516666666666666	0.33183531746031747	0.0	0.6666666666666666
Colorectal	5895	0.5	3.715	0.49916666666666665	0.4476038961038961	0.16666666666666666	0.7142857142857143
Colorectal	7074	0.6	4.465	0.6133333333333333	0.5505277777777777	0.25	0.8339285714285716
Colorectal	8253	0.7	5.33	0.7258333333333333	0.6337916666666666	0.4278571428571428	0.8571428571428571
Colorectal	9432	0.8	5.86	0.8158333333333334	0.7112321428571429	0.5	1.0
Colorectal	10611	0.9	6.005	0.9108333333333334	0.8427380952380952	0.625	1.0
Colorectal	11790	1.0	6.0	1.0	1.0	1.0	1.0
Breast	2427	0.1	0.19	0.003958333333333333	0.0039012820512820514	0.0	0.041666666666666664
Breast	4854	0.2	0.46	0.014166666666666666	0.014067948717948718	0.0	0.08333333333333333
Breast	7281	0.3	1.3	0.04333333333333333	0.04231175213675213	0.0	0.1601666666666667
Breast	9708	0.4	2.86	0.10125	0.09883330280830281	0.0	0.26979166666666676
Breast	12135	0.5	6.2	0.219375	0.20921440535837088	0.041666666666666664	0.4235000000000001
Breast	14562	0.6	9.305	0.3335416666666666	0.3147121068586586	0.08229166666666668	0.5555555555555556
Breast	16989	0.7	13.8	0.49791666666666673	0.4607487308825253	0.25	0.68
Breast	19416	0.8	18.295	0.6691666666666666	0.6124291549240938	0.41625	0.7692307692307693
Breast	21843	0.9	22.965	0.8404166666666667	0.7555525484374832	0.59375	0.8801153846153846
Breast	24270	1.0	24.0	1.0	1.0	1.0	1.0
Prostate	2036	0.09996072270227808	0.17	0.0024999999999999996	0.002483426704014939	0.0	0.029411764705882353
Prostate	4073	0.19997054202670855	0.485	0.010294117647058822	0.010158191481720893	0.0	0.07720588235294125
Prostate	6110	0.29998036135113904	1.545	0.037794117647058825	0.037143310714518145	0.0	0.17647058823529413
Prostate	8147	0.3999901806755695	4.055	0.10191176470588235	0.09891950764356942	0.0	0.2648449920508744
Prostate	10184	0.5	9.295	0.235	0.22460944915277392	0.027857142857142872	0.42896825396825405
Prostate	12220	0.5999607227022781	16.705	0.4270588235294117	0.3995619975509305	0.17647058823529413	0.5590421303656599
Prostate	14257	0.6999705420267086	22.765	0.5770588235294117	0.5283102196315403	0.37142857142857144	0.6859325396825398
Prostate	16294	0.799980361351139	28.695	0.7161764705882354	0.6359501924065674	0.5277777777777778	0.777927927927928
Prostate	18331	0.8999901806755696	32.845	0.8336764705882354	0.7374773277923751	0.6314871481028151	0.8611111111111112
Prostate	20368	1.0	34.0	1.0	1.0	1.0	1.0
