mode	release	cases	controls	n_eff	n_tested	n_nominal	n_hits	n_genes	n_loci	n_novel_genes	jaccard_vs_R12	recovery_main	recovery_known	recovery_novel	diff_gene	recovery_known_locus	recovery_novel_locus	diff_locus
common	R8	2705	259583	10708.412355883609	3258	199	7	4	1	0	0.6666666666666666	0.6666666666666666	0.625	0.0	0.625	0.25	0.0	0.25
common	R9	2993	287137	11848.496067280184	3258	201	8	5	1	0	0.8333333333333334	0.8333333333333334	0.625	0.0	0.625	0.25	0.0	0.25
common	R10	3194	314193	12647.429693087619	3262	208	8	5	1	0	0.8333333333333334	0.8333333333333334	0.625	0.0	0.625	0.25	0.0	0.25
common	R11	3932	345118	15550.826254118321	3262	237	8	5	1	0	0.8333333333333334	0.8333333333333334	0.625	0.5	0.125	0.25	0.25	0.0
common	R12	5753	378749	22667.68960369517	3262	257	10	6	2	0	1.0	1.0	1.0	0.8333333333333334	0.16666666666666663	1.0	0.75	0.25
own	R8	2705	259583	10708.412355883609	3258	199	7	4	1	0	0.6666666666666666	0.6666666666666666	0.625	0.0	0.625	0.25	0.0	0.25
own	R9	2993	287137	11848.496067280184	3258	201	8	5	1	0	0.8333333333333334	0.8333333333333334	0.625	0.0	0.625	0.25	0.0	0.25
own	R10	3194	314193	12647.429693087619	3434	221	8	5	1	0	0.8333333333333334	0.8333333333333334	0.625	0.0	0.625	0.25	0.0	0.25
own	R11	3932	345118	15550.826254118321	3434	249	8	5	1	0	0.8333333333333334	0.8333333333333334	0.625	0.5	0.125	0.25	0.25	0.0
own	R12	5753	378749	22667.68960369517	3434	275	10	6	2	0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
