SYMBOL	ENSEMBL	in_eqtl	in_multiome	in_patient	locked
ALDOA	ENSG00000149925	1	1	1	1
ALDOB	ENSG00000136872	1	0	0	0
ALDOC	ENSG00000109107	1	0	1	0
ENO1	ENSG00000074800	1	1	1	1
ENO2	ENSG00000111674	1	0	1	0
ENO3	ENSG00000108515	1	0	0	0
GAPDH	ENSG00000111640	1	1	1	1
GPI	ENSG00000282019	1	1	1	1
HK1	ENSG00000156515	1	1	1	1
HK2	ENSG00000159399	1	1	1	1
HK3	ENSG00000160883	1	0	1	0
LDHA	ENSG00000288299	1	1	1	1
LDHB	ENSG00000111716	1	0	0	0
PFKFB3	ENSG00000170525	1	1	1	1
PFKFB4	ENSG00000114268	1	0	1	0
PFKL	ENSG00000141959	1	1	1	1
PFKM	ENSG00000152556	1	0	1	0
PFKP	ENSG00000067057	1	1	1	1
PGAM1	ENSG00000171314	1	1	1	1
PGK1	ENSG00000102144	1	1	1	1
PGM1	ENSG00000079739	1	0	1	0
PKLR	ENSG00000262785	1	0	0	0
PKM	ENSG00000067225	1	1	1	1
SLC16A1	ENSG00000281917	1	0	0	0
SLC16A3	ENSG00000141526	1	0	0	0
SLC2A1	ENSG00000117394	1	1	1	1
SLC2A3	ENSG00000059804	1	1	1	1
TPI1	ENSG00000111669	1	1	1	1
