motif	delta	ref_score	alt_score	is_AP1	abs_delta	rank	emp_p_motif
ZNF75D	12.2903900912401	12.2903900912401	0	FALSE	12.2903900912401	1	0.002
SCRT1	-11.5572015221257	0	11.5572015221257	FALSE	11.5572015221257	2	0.004
PLAGL2	0.0175026827669775	11.9156475409522	11.8981448581852	FALSE	0.0175026827669775	3	0.01
FOXF2	0	0	0	FALSE	0	4	1
FOXD1	0	0	0	FALSE	0	5	1
IRF2	0	0	0	FALSE	0	6	1
MZF1(var.2)	0	0	0	FALSE	0	7	1
MAX::MYC	0	0	0	FALSE	0	8	1
PPARG	0	0	0	FALSE	0	9	1
PAX6	0	0	0	FALSE	0	10	1
PBX1	0	0	0	FALSE	0	11	1
RORA	0	0	0	FALSE	0	12	1
RORA(var.2)	0	0	0	FALSE	0	13	1
RREB1	0	0	0	FALSE	0	14	1
RXRA::VDR	0	0	0	FALSE	0	15	1
SOX9	0	0	0	FALSE	0	16	1
SRY	0	0	0	FALSE	0	17	1
TAL1::TCF3	0	0	0	FALSE	0	18	1
REL	0	0	0	FALSE	0	19	1
RELA	0	0	0	FALSE	0	20	1
NR1H2::RXRA	0	0	0	FALSE	0	21	1
NFIC::TLX1	0	0	0	FALSE	0	22	1
ZNF354C	0	0	0	FALSE	0	23	1
CTCF	0	0	0	FALSE	0	24	1
EWSR1-FLI1	0	0	0	FALSE	0	25	1
REST	0	0	0	FALSE	0	26	1
NFATC2	0	0	0	FALSE	0	27	1
INSM1	0	0	0	FALSE	0	28	1
RARA::RXRA	0	0	0	FALSE	0	29	1
NR4A2	0	0	0	FALSE	0	30	1
PLAG1	0	0	0	FALSE	0	31	1
ARNT::HIF1A	0	0	0	FALSE	0	32	1
DUX4	0	0	0	FALSE	0	33	1
FOS	0	0	0	TRUE	0	34	1
FOSL2	0	0	0	TRUE	0	35	1
FOXH1	0	0	0	FALSE	0	36	1
JUN	0	0	0	TRUE	0	37	1
JUN(var.2)	0	0	0	TRUE	0	38	1
JUND(var.2)	0	0	0	TRUE	0	39	1
MEF2C	0	0	0	FALSE	0	40	1
MAF::NFE2	0	0	0	FALSE	0	41	1
NR2C2	0	0	0	FALSE	0	42	1
NRF1	0	0	0	FALSE	0	43	1
POU2F2	0	0	0	FALSE	0	44	1
SMAD2::SMAD3::SMAD4	0	0	0	FALSE	0	45	1
STAT1::STAT2	0	0	0	FALSE	0	46	1
TCF7L2	0	0	0	FALSE	0	47	1
ZBTB33	0	0	0	FALSE	0	48	1
ELK4	0	0	0	FALSE	0	49	1
ESR2	0	0	0	FALSE	0	50	1
IRF1	0	0	0	FALSE	0	51	1
STAT1	0	0	0	FALSE	0	52	1
STAT3	0	0	0	FALSE	0	53	1
GATA1::TAL1	0	0	0	FALSE	0	54	1
YY1	0	0	0	FALSE	0	55	1
FOXP2	0	0	0	FALSE	0	56	1
SREBF1	0	0	0	FALSE	0	57	1
SREBF2	0	0	0	FALSE	0	58	1
THAP1	0	0	0	FALSE	0	59	1
KLF5	0	0	0	FALSE	0	60	1
DMRT3	0	0	0	FALSE	0	61	1
FOXG1	0	0	0	FALSE	0	62	1
LBX1	0	0	0	FALSE	0	63	1
NFATC3	0	0	0	FALSE	0	64	1
POU6F1	0	0	0	FALSE	0	65	1
SHOX	0	0	0	FALSE	0	66	1
ALX3	0	0	0	FALSE	0	67	1
BARHL2	0	0	0	FALSE	0	68	1
BHLHE41	0	0	0	FALSE	0	69	1
CENPB	0	0	0	FALSE	0	70	1
CREB3	0	0	0	FALSE	0	71	1
DBP	0	0	0	FALSE	0	72	1
ELF4	0	0	0	FALSE	0	73	1
ELF5	0	0	0	FALSE	0	74	1
EN1	0	0	0	FALSE	0	75	1
EN2	0	0	0	FALSE	0	76	1
ESX1	0	0	0	FALSE	0	77	1
ETV6	0	0	0	FALSE	0	78	1
FLI1	0	0	0	FALSE	0	79	1
FOXI1	0	0	0	FALSE	0	80	1
FOXL1	0	0	0	FALSE	0	81	1
FOXO3	0	0	0	FALSE	0	82	1
GCM1	0	0	0	FALSE	0	83	1
GRHL1	0	0	0	FALSE	0	84	1
GSC	0	0	0	FALSE	0	85	1
HEY2	0	0	0	FALSE	0	86	1
HINFP	0	0	0	FALSE	0	87	1
HNF1A	0	0	0	FALSE	0	88	1
HNF1B	0	0	0	FALSE	0	89	1
HOXC11	0	0	0	FALSE	0	90	1
HSF1	0	0	0	FALSE	0	91	1
IRF8	0	0	0	FALSE	0	92	1
IRF9	0	0	0	FALSE	0	93	1
ISX	0	0	0	FALSE	0	94	1
JDP2	0	0	0	TRUE	0	95	1
JDP2(var.2)	0	0	0	TRUE	0	96	1
KLF13	0	0	0	FALSE	0	97	1
LHX6	0	0	0	FALSE	0	98	1
MEF2B	0	0	0	FALSE	0	99	1
MEOX1	0	0	0	FALSE	0	100	1
MIXL1	0	0	0	FALSE	0	101	1
MLX	0	0	0	FALSE	0	102	1
MLXIPL	0	0	0	FALSE	0	103	1
MSC	0	0	0	FALSE	0	104	1
MSX1	0	0	0	FALSE	0	105	1
MYF6	0	0	0	FALSE	0	106	1
NEUROD2	0	0	0	FALSE	0	107	1
NEUROG2	0	0	0	FALSE	0	108	1
NFIA	0	0	0	FALSE	0	109	1
NFIX	0	0	0	FALSE	0	110	1
NHLH1	0	0	0	FALSE	0	111	1
NKX2-3	0	0	0	FALSE	0	112	1
NKX2-8	0	0	0	FALSE	0	113	1
NKX6-1	0	0	0	FALSE	0	114	1
NKX6-2	0	0	0	FALSE	0	115	1
OLIG2	0	0	0	FALSE	0	116	1
PAX4	0	0	0	FALSE	0	117	1
PAX7	0	0	0	FALSE	0	118	1
POU4F2	0	0	0	FALSE	0	119	1
SP4	0	0	0	FALSE	0	120	1
SPDEF	0	0	0	FALSE	0	121	1
SPIC	0	0	0	FALSE	0	122	1
