sample	compartment	TPI1_rho	TPI1_p	HLAC_rho	HLAC_p	SMC2_rho	SMC2_p
mel2	Glycolysis			0.0831138583876045	1.05049811066724e-07	0.105976537581793	1.13741435329489e-11
mel2	Tumour			0.0348822829579953	0.0258376523427768	0.112742454167909	5.04760860509342e-13
mel2	Lymphoid			0.0150189028070189	0.337394590614032	-0.00082196573681899	0.958130492318996
mel2	Myeloid			0.0399892420617157	0.010613489437446	-0.00362516045757675	0.816892786801649
mel2	Bcell			0.00278841375487706	0.858645211263602	0.00526487015986332	0.736663755053745
mel2	Stromal			0.0195654097625312	0.211379484660394	-0.0434628353734582	0.00548082535942867
mel2	Prolif			0.037201403645425	0.0174582413558893	0.0996524835116833	1.76179150928036e-10
mel3	Glycolysis			0.047488899235434	0.000848602544116402	0.0949640536756976	2.3370353168265e-11
mel3	Tumour			-0.120387794216726	2.17199255585664e-17	0.0688059907142936	1.31734529096382e-06
mel3	Lymphoid			0.323149471085251	2.83131194163735e-120	-0.00125639897214175	0.929700824953862
mel3	Myeloid			0.329796745301528	1.74286723283528e-125	-0.00309925369673838	0.827723307441076
mel3	Bcell			0.136736196479611	5.08046716278986e-22	0.0253639605834509	0.0748665666076434
mel3	Stromal			0.264643351511815	7.66954307191816e-80	-0.124697786151208	1.49164656317895e-18
mel3	Prolif			-0.0975319094016194	6.65751938736856e-12	0.0886512667417635	4.45600481022758e-10
