type	n	TPI1_detect	TPI1_mean	Glyco_mean	depth
Mal	2018	0.953419226957384	5.96353451251035	4.33106018031983	5.49355256971961
T.CD8	1759	0.6878908470722	4.0525557874131	3.16479754404001	5.36036103270608
T.CD4	856	0.606308411214953	3.39361664870887	3.18959266480775	5.32605551305906
B.cell	818	0.518337408312958	2.66096197206143	2.33044545603848	5.24929487518022
T.cell	706	0.586402266288952	3.33251958299382	2.90980652581615	5.32647829279665
Macrophage	420	0.945238095238095	5.97447925818634	4.44802392424928	5.69004244164588
?	307	0.684039087947883	4.06210755466519	3.15157317539146	5.3534459139092
CAF	106	0.820754716981132	4.61397745332131	3.5052635849138	5.57748819479427
Endo.	104	0.855769230769231	4.35744630445123	3.44435637041831	5.38978708316707
NK	92	0.652173913043478	3.97021287787638	2.75728827580137	5.2057380904814
