sample	n_pair	smd_depth	TPI1_mal	TPI1_cd4	Glyco_mal	Glyco_cd4	GlycoNo_mal	GlycoNo_cd4
Mel79	48	-0.0031918617344223	3.92699306057127	2.90271069985592	3.72118643258764	3.06010414046872	3.70746599072207	3.07059703650958
Mel88	38	-0.00587866767357949	5.51669273347151	3.22697275730858	3.98651304342405	2.94920428452905	3.88450106408755	2.93068638634375
Mel53	13	-0.0291388919974794	6.18058748728343	3.95555939172352	4.28024707702014	3.77906773707947	4.15355771633592	3.76730162676986
Mel80	76	-0.00745425382839349	6.26773281797312	3.46179226705027	5.49626045226564	3.45678460944074	5.44482896121847	3.4564507656001
Mel89	25	-0.0292764817599691	5.25240312116811	3.45834933207176	3.9681370069085	3.17153432048258	3.88251926595786	3.15241331970997
Mel194	22	0.023819953119273	5.89511682179	3.89849836288946	4.06327298754153	3.49379088807997	3.94115006525829	3.46681038975934
Mel102	37	0.0257831426515292	6.34028007653026	5.66709995297655	3.96308535218295	4.19491206467491	3.80460570389313	4.0967662054548
Mel110	11	-0.00647353258371643	7.60582284025268	5.35959534282076	4.26149349477936	4.24910810487316	4.03853820508113	4.17507562234332
Mel106	14	-0.0194110411908633	7.55791283092437	3.31812038823393	4.39555170539046	3.09804249542429	4.18472763035486	3.08337063590365
Mel103	15	0.0165562158454956	4.66556500473195	4.91287796097414	4.17796101448016	4.07248405235301	4.14545408179671	4.01645779177826
Mel98	13	-0.0213569109470159	7.78276786760292	4.48160586057535	5.19159029228978	4.02319877529502	5.01884512060224	3.992638302943
