SYMBOL	ENSEMBL	Naive_0h	Naive_16h	Naive_40h	Naive_5d	Memory_0h	Memory_16h	Memory_40h	Memory_5d	min_pval	has_instrument	instrument_profiles
ALDOA	ENSG00000149925	2.219e-01	7.409e-02	1.300e-01	1.949e-02	1.166e-01	9.598e-02	3.421e-01	3.038e-01	1.949e-02	0	
ALDOB	ENSG00000136872										0	
ALDOC	ENSG00000109107	5.618e-02	2.359e-03	7.724e-02	3.043e-03	2.500e-02	2.485e-02	5.487e-03	3.809e-02	2.359e-03	0	
ENO1	ENSG00000074800	5.271e-09	5.621e-04	2.475e-04	1.717e-05	1.431e-03	9.595e-03	1.281e-03	1.612e-03	5.271e-09	1	Naive_0h
ENO2	ENSG00000111674	4.163e-03	1.086e-03	3.743e-03	5.116e-04	1.859e-02	8.124e-03	1.011e-02	1.808e-04	1.808e-04	0	
ENO3	ENSG00000108515	4.517e-03	1.166e-03	7.404e-06	1.096e-03	1.383e-03	6.147e-03	6.240e-04	2.191e-06	2.191e-06	0	
GAPDH	ENSG00000111640	1.739e-04	6.135e-04	2.790e-02	2.105e-05	4.346e-03	1.695e-03	7.792e-03	6.189e-03	2.105e-05	0	
GPI	ENSG00000282019										0	
HK1	ENSG00000156515	1.786e-04	8.954e-03	9.678e-05	5.707e-04	2.731e-03	1.352e-03	5.783e-03	2.386e-02	9.678e-05	0	
HK2	ENSG00000159399		5.280e-04	3.832e-02	9.401e-04		2.871e-02	7.013e-03	7.521e-03	5.280e-04	0	
HK3	ENSG00000160883										0	
LDHA	ENSG00000288299										0	
LDHB	ENSG00000111716	7.744e-03	3.789e-02	7.277e-02	9.867e-02	1.254e-02	1.177e-02	9.466e-03	7.064e-03	7.064e-03	0	
PFKFB3	ENSG00000170525	1.531e-02	5.028e-04	9.780e-03	8.279e-03	5.519e-03	2.633e-03	4.031e-03	1.866e-03	5.028e-04	0	
PFKFB4	ENSG00000114268			2.031e-02	1.344e-01			1.353e-01	3.735e-02	2.031e-02	0	
PFKL	ENSG00000141959	1.537e-05	3.351e-03	5.546e-03	2.048e-02	1.872e-03	1.225e-03	1.207e-03	1.729e-02	1.537e-05	0	
PFKM	ENSG00000152556	5.474e-03	7.981e-03	2.919e-03	7.082e-03	6.209e-04	3.354e-03	7.055e-03	1.420e-02	6.209e-04	0	
PFKP	ENSG00000067057	2.376e-02	1.097e-04	9.600e-03	1.493e-03	9.629e-04	1.318e-06	4.975e-03	7.836e-03	1.318e-06	0	
PGAM1	ENSG00000171314	1.114e-02	7.800e-04	1.240e-02	6.786e-02	5.823e-02	3.940e-04	1.115e-03	8.554e-04	3.940e-04	0	
PGK1	ENSG00000102144										0	
PGM1	ENSG00000079739	3.858e-02	1.540e-02	7.963e-05	7.290e-02	3.072e-02	1.124e-02	3.111e-02	1.424e-04	7.963e-05	0	
PKLR	ENSG00000262785										0	
PKM	ENSG00000067225	5.828e-01	4.160e-01	4.751e-01	6.161e-02	3.868e-01	6.078e-01	6.827e-01	2.252e-01	6.161e-02	0	
SLC16A1	ENSG00000281917										0	
SLC16A3	ENSG00000141526	3.591e-02	9.607e-02	2.293e-02	4.155e-03	9.025e-03	1.877e-02	7.101e-02	4.021e-02	4.155e-03	0	
SLC2A1	ENSG00000117394	5.334e-02	8.391e-04	3.846e-08	3.766e-04	4.002e-02	1.403e-07	6.284e-04	2.419e-02	3.846e-08	1	Naive_40h
SLC2A3	ENSG00000059804	1.347e-02	7.867e-03	2.368e-02	6.293e-03	7.775e-03	2.245e-02	1.335e-03	2.211e-04	2.211e-04	0	
TPI1	ENSG00000111669	8.370e-05	1.739e-12	8.692e-03	3.519e-03	6.192e-03	1.215e-09	3.693e-02	7.074e-03	1.739e-12	1	Naive_16h;Memory_16h
