definition	timepoint	genes	subset	n_R	n_NR	score_diff	ci_lo	ci_hi	wilcox_p	perm_p
marker score	BT	locked16	all	6	3	0.176201580216197	-0.558941693960091	1.02603562342319	0.904761904761905	0.371131443427829
marker score	BT	locked16	one_per_patient	6	3	0.176201580216197	-0.558941693960091	0.978312336443909	0.904761904761905	0.367831608419579
marker score	BT	locked16	single_sample_patients	6	3	0.176201580216197	-0.589229808010437	1.0125614476564	0.904761904761905	0.366931653417329
marker score	BT	locked15_noTPI1	all	6	3	0.194057615097936	-0.55518771746489	1.00683844322119	0.714285714285714	0.345282735863207
marker score	BT	locked15_noTPI1	one_per_patient	6	3	0.194057615097936	-0.555263685595662	1.04311254324094	0.714285714285714	0.338983050847458
marker score	BT	locked15_noTPI1	single_sample_patients	6	3	0.194057615097936	-0.5482975863978	1.01139591849883	0.714285714285714	0.346432678366082
marker score	OT	locked16	all	4	7	0.16335893982479	-0.371224393093861	0.751076499484539	0.927272727272727	0.363181840907955
marker score	OT	locked16	one_per_patient	4	7	0.16335893982479	-0.387317667336248	0.761043662220451	0.927272727272727	0.361681915904205
marker score	OT	locked16	single_sample_patients	4	7	0.16335893982479	-0.381217032705349	0.756125047904932	0.927272727272727	0.369931503424829
marker score	OT	locked15_noTPI1	all	4	7	0.156557866562587	-0.372777980096346	0.747659818584218	0.927272727272727	0.372731363431828
marker score	OT	locked15_noTPI1	one_per_patient	4	7	0.156557866562587	-0.376189000706917	0.717713912977409	0.927272727272727	0.367431628418579
marker score	OT	locked15_noTPI1	single_sample_patients	4	7	0.156557866562587	-0.374048599635913	0.728618431595011	0.927272727272727	0.367131643417829
CD4-dominant clusters	BT	locked16	all	6	7	0.126242525019124	-0.351908917604267	0.639235236052248	0.835664335664336	0.331383430828459
CD4-dominant clusters	BT	locked16	one_per_patient	6	7	0.126242525019124	-0.356905283544895	0.651858041114155	0.835664335664336	0.325433728313584
CD4-dominant clusters	BT	locked16	single_sample_patients	6	7	0.126242525019124	-0.362695601485693	0.624026067018012	0.835664335664336	0.324883755812209
CD4-dominant clusters	BT	locked15_noTPI1	all	6	7	0.0954737814056244	-0.389258530638839	0.612015773607622	0.835664335664336	0.364181790910455
CD4-dominant clusters	BT	locked15_noTPI1	one_per_patient	6	7	0.0954737814056244	-0.395073254138879	0.611541159356806	0.835664335664336	0.366181690915454
CD4-dominant clusters	BT	locked15_noTPI1	single_sample_patients	6	7	0.0954737814056244	-0.383944040539212	0.616164444352939	0.835664335664336	0.366831658417079
CD4-dominant clusters	OT	locked16	all	5	9	0.135835150223977	-0.306219166858076	0.555278723163762	0.606393606393606	0.336033198340083
CD4-dominant clusters	OT	locked16	one_per_patient	5	9	0.135835150223977	-0.303778579274524	0.575741026641125	0.606393606393606	0.333133343332833
CD4-dominant clusters	OT	locked16	single_sample_patients	5	9	0.135835150223977	-0.286285505669902	0.550952635898014	0.606393606393606	0.337733113344333
CD4-dominant clusters	OT	locked15_noTPI1	all	5	9	0.114430519147761	-0.280627553939458	0.510058178863162	0.606393606393606	0.350532473376331
CD4-dominant clusters	OT	locked15_noTPI1	one_per_patient	5	9	0.114430519147761	-0.299097971774761	0.513110888821388	0.606393606393606	0.348982550872456
CD4-dominant clusters	OT	locked15_noTPI1	single_sample_patients	5	9	0.114430519147761	-0.298061337998379	0.529278302849765	0.606393606393606	0.354332283385831
