definition	timepoint	genes	subset	n_R	n_NR	score_diff	ci_lo	ci_hi	wilcox_p	perm_p
CD4_Tcells (作者注释, 主)	BT	locked16	all	8	3	0.554825563960847	-0.103876169368527	1.14876953291306	0.278787878787879	0.107894605269737
CD4_Tcells (作者注释, 主)	BT	locked16	one_per_patient	8	3	0.554825563960847	-0.107326546777699	1.1470965413243	0.278787878787879	0.108994550272486
CD4_Tcells (作者注释, 主)	BT	locked16	single_sample_patients	8	3	0.554825563960847	-0.116529087648805	1.16486839987672	0.278787878787879	0.107894605269737
CD4_Tcells (作者注释, 主)	BT	locked15_noTPI1	all	8	3	0.564762623380368	-0.0778113284434096	1.1860238458914	0.278787878787879	0.107144642767862
CD4_Tcells (作者注释, 主)	BT	locked15_noTPI1	one_per_patient	8	3	0.564762623380368	-0.0707575402816124	1.17153070609484	0.278787878787879	0.110744462776861
CD4_Tcells (作者注释, 主)	BT	locked15_noTPI1	single_sample_patients	8	3	0.564762623380368	-0.0916327820449968	1.15284179577788	0.278787878787879	0.111944402779861
CD4_Tcells (作者注释, 主)	OT	locked16	all	5	8	-0.147181677986529	-0.569074100689124	0.322037874102428	0.523698523698524	0.686765661716914
CD4_Tcells (作者注释, 主)	OT	locked16	one_per_patient	5	7	-0.104401962720318	-0.581314067664943	0.371022711191374	0.638888888888889	0.644517774111295
CD4_Tcells (作者注释, 主)	OT	locked16	single_sample_patients	5	6	-0.0324220227557482	-0.550897466084237	0.47231236812902	0.930735930735931	0.536973151342433
CD4_Tcells (作者注释, 主)	OT	locked15_noTPI1	all	5	8	-0.139417605231136	-0.560378991233931	0.298291169182244	0.435120435120435	0.692465376731164
CD4_Tcells (作者注释, 主)	OT	locked15_noTPI1	one_per_patient	5	7	-0.0764429899500146	-0.525043660562523	0.371408760180838	0.755050505050505	0.608319584020799
CD4_Tcells (作者注释, 主)	OT	locked15_noTPI1	single_sample_patients	5	6	-0.013605156414189	-0.51401837185503	0.465542842507225	1	0.528073596320184
CD4_Tcells + Tregs (敏感性)	BT	locked16	all	8	3	0.642475720787242	-0.00333985383667471	1.23976528089673	0.278787878787879	0.0866956652167392
CD4_Tcells + Tregs (敏感性)	BT	locked16	one_per_patient	8	3	0.642475720787242	0.0131104125487937	1.21591996753265	0.278787878787879	0.0851957402129894
CD4_Tcells + Tregs (敏感性)	BT	locked16	single_sample_patients	8	3	0.642475720787242	0.00912531594183552	1.20777008432115	0.278787878787879	0.0843957802109895
CD4_Tcells + Tregs (敏感性)	BT	locked15_noTPI1	all	8	3	0.651147594407212	0.00276209116340054	1.23020060774096	0.278787878787879	0.0930453477326134
CD4_Tcells + Tregs (敏感性)	BT	locked15_noTPI1	one_per_patient	8	3	0.651147594407212	0.0268616631805927	1.24203999041255	0.278787878787879	0.0914954252287386
CD4_Tcells + Tregs (敏感性)	BT	locked15_noTPI1	single_sample_patients	8	3	0.651147594407212	0.0412630173250627	1.2267681151896	0.278787878787879	0.0916454177291135
CD4_Tcells + Tregs (敏感性)	OT	locked16	all	5	10	0.159164885599282	-0.271978336750934	0.635668519834974	1	0.339633018349083
CD4_Tcells + Tregs (敏感性)	OT	locked16	one_per_patient	5	8	0.269457422022012	-0.218954632833618	0.788819675942225	0.724164724164724	0.234788260586971
CD4_Tcells + Tregs (敏感性)	OT	locked16	single_sample_patients	5	7	0.301682345712997	-0.256933120799016	0.877116101167189	0.755050505050505	0.219139043047848
CD4_Tcells + Tregs (敏感性)	OT	locked15_noTPI1	all	5	10	0.138185135977697	-0.294436496920122	0.6213695534699	0.767898767898768	0.361781910904455
CD4_Tcells + Tregs (敏感性)	OT	locked15_noTPI1	one_per_patient	5	8	0.248974644357841	-0.218621762642994	0.759351137639578	0.832944832944833	0.247837608119594
CD4_Tcells + Tregs (敏感性)	OT	locked15_noTPI1	single_sample_patients	5	7	0.28995631665012	-0.241465789565336	0.848753832820815	0.638888888888889	0.223988800559972
