gene	profile	window	p12	nsnp	PP.H3	PP.H4	H3H4	ratio	pass
PARP1	CD4_Naive_stim_40h	±100 kb	1e-06	397	0.994563416079417	0.00543516337930034	0.999998579458717	0.00543517110018527	FALSE
PARP1	CD4_Naive_stim_40h	±100 kb	5e-06	397	0.973401041307078	0.0265975683779957	0.999998609685073	0.0265976053570435	FALSE
PARP1	CD4_Naive_stim_40h	±100 kb	1e-05	397	0.948181713351447	0.051816932354553	0.999998645706	0.0518170025300086	FALSE
PARP1	CD4_Naive_stim_40h	±100 kb	5e-05	397	0.785394730801245	0.214604147414443	0.999998878215688	0.214604388154279	FALSE
PARP1	CD4_Naive_stim_40h	±250 kb	1e-06	745	0.994602777599474	0.00539580181483694	0.999998579414311	0.00539580948004667	FALSE
PARP1	CD4_Naive_stim_40h	±250 kb	5e-06	745	0.973589591657196	0.0264090177701362	0.999998609427332	0.0264090544938456	FALSE
PARP1	CD4_Naive_stim_40h	±250 kb	1e-05	745	0.948539592697959	0.0514590525081501	0.999998645206109	0.0514591222246545	FALSE
PARP1	CD4_Naive_stim_40h	±250 kb	5e-05	745	0.786623908625463	0.213374967843929	0.999998876469391	0.213375207577506	FALSE
PARP1	CD4_Naive_stim_40h	±500 kb	1e-06	847	0.994608134163407	0.00539044524407734	0.999998579407484	0.00539045290171439	FALSE
PARP1	CD4_Naive_stim_40h	±500 kb	5e-06	847	0.97361525527399	0.0263833541174848	0.999998609391475	0.026383390806453	FALSE
PARP1	CD4_Naive_stim_40h	±500 kb	1e-05	847	0.948588313877259	0.0514103312600389	0.999998645137298	0.0514104009140736	FALSE
PARP1	CD4_Naive_stim_40h	±500 kb	5e-05	847	0.786791472866661	0.213207403364042	0.999998876230704	0.213207642960245	FALSE
PARP1	CD4_Naive_stim_40h	full cis	1e-06	847	0.994608134163407	0.00539044524407734	0.999998579407484	0.00539045290171439	FALSE
PARP1	CD4_Naive_stim_40h	full cis	5e-06	847	0.97361525527399	0.0263833541174848	0.999998609391475	0.026383390806453	FALSE
PARP1	CD4_Naive_stim_40h	full cis	1e-05	847	0.948588313877259	0.0514103312600389	0.999998645137298	0.0514104009140736	FALSE
PARP1	CD4_Naive_stim_40h	full cis	5e-05	847	0.786791472866661	0.213207403364042	0.999998876230704	0.213207642960245	FALSE
ZFYVE19	CD4_Naive_stim_5d	±100 kb	1e-06	110	0.0417101770890236	0.85813331359568	0.899843490684704	0.953647298090376	TRUE
ZFYVE19	CD4_Naive_stim_5d	±100 kb	5e-06	110	0.00941000883586877	0.967994219498736	0.977404228334605	0.990372449225125	TRUE
ZFYVE19	CD4_Naive_stim_5d	±100 kb	1e-05	110	0.00478152259932226	0.983736852382924	0.988518374982247	0.995162940092633	TRUE
ZFYVE19	CD4_Naive_stim_5d	±100 kb	5e-05	110	0.000968910548081403	0.996704494239255	0.997673404787337	0.999028829932288	TRUE
