pmid	title	abstract	journal	year	pmc	eligible
33569077	Systematic Prioritization of Candidate Genes in Disease Loci Identifies TRAFD1 as a Master Regulator of IFN&#x3b3; Signaling in Celiac Disease.	Celiac disease (CeD) is a complex T cell-mediated enteropathy induced by gluten. Although genome-wide association studies have identified numerous genomic regions associated with CeD, it is difficult to accurately pinpoint which genes in these loci are most likely to cause CeD. We used four different in silico approaches-Mendelian randomization inverse variance weighting, COLOC, LD overlap, and DE	Frontiers in genetics	2020	PMC7868554	False
36517655	Mendelian Randomization Study Using Dopaminergic Neuron-Specific eQTL Identifies Novel Risk Genes for Schizophrenia.	Multiple integrative studies have been performed to identify the potential target genes of the non-coding schizophrenia (SCZ) risk variants. However, all the integrative studies used expression quantitative trait loci (eQTL) data from bulk tissues. Considering the cell type-specific regulatory effect of many genetic variants, it is important to conduct integrative studies using cell type-specific 	Molecular neurobiology	2023		True
37799268	Modeling of horizontal pleiotropy identifies possible causal gene expression in systemic lupus erythematosus.	Systemic lupus erythematosus (SLE) is a chronic autoimmune condition with complex causes involving genetic and environmental factors. While genome-wide association studies (GWASs) have identified genetic loci associated with SLE, the functional genomic elements responsible for disease development remain largely unknown. Mendelian Randomization (MR) is an instrumental variable approach to causal in	Frontiers in lupus	2023	PMC10554754	True
37821814	Summary-data based Mendelian randomization identifies gene expression regulatory polymorphisms associated with bovine paratuberculosis by modulation of the nuclear factor Kappa &#x3b2; (NF-&#x3ba;&#xdf;)-mediated inflammatory response.	Genome-wide association studies (GWAS) have identified host genetic variants associated with paratuberculosis (PTB) susceptibility. Most of the GWAS-identified SNPs are in non-coding regions. Connecting these non-coding variants and downstream affected genes is a challenge and, up to date, only a few functional mutations or expression quantitative loci (cis-eQTLs) associated with PTB susceptibilit	BMC genomics	2023	PMC10568764	False
38316767	Brain tissue- and cell type-specific eQTL Mendelian randomization reveals efficacy of FADS1 and FADS2 on cognitive function.	Epidemiological studies suggested an association between omega-3 fatty acids and cognitive function. However, the causal role of the fatty acid desaturase (FADS) gene, which play a key role in regulating omega-3 fatty acids biosynthesis, on cognitive function is unclear. Hence, we used two-sample Mendelian randomization (MR) to estimate the gene-specific causal effect of omega-3 fatty acids (N&#x2	Translational psychiatry	2024	PMC10844634	True
38521921	Integrative multi-omics analysis identifies genetically supported druggable targets and immune cell specificity for myasthenia gravis.	Myasthenia gravis (MG) is a chronic autoimmune disorder characterized by fluctuating muscle weakness. Despite the availability of established therapies, the management of MG symptoms remains suboptimal, partially attributed to lack of efficacy or intolerable side-effects. Therefore, new effective drugs are warranted for treatment of MG. By employing an analytical framework that combines Mendelian 	Journal of translational medicine	2024	PMC10960998	False
38533040	Comprehensive single-cell analysis reveals heterogeneity of fibroblast subpopulations in ovarian cancer tissue microenvironment.	Ovarian cancer, as a highly malignant tumor, features the critical involvement of tumor-associated fibroblasts in the ovarian cancer tissue microenvironment. However, due to the apparent heterogeneity within fibroblast subpopulations, the specific functions of these subpopulations in the ovarian cancer tissue microenvironment remain insufficiently elucidated. In this study, we integrated single-ce	Heliyon	2024	PMC10963331	False
38566986	Transcriptomics in idiopathic pulmonary fibrosis unveiled: a new perspective from differentially expressed genes to therapeutic targets.	The underlying molecular pathways of idiopathic pulmonary fibrosis (IPF), a progressive lung condition with a high death rate, are still mostly unknown. By using microarray datasets, this study aims to identify new genetic targets for IPF and provide light on the genetic factors that contribute to the development of IPF. We conducted a comprehensive analysis of three independent IPF datasets from 	Frontiers in immunology	2024	PMC10985171	True
38660678	Critical gene signature and immunological characterization in peripheral vascular atherosclerosis: novel insights from mendelian randomization and transcriptomics.	Peripheral vascular atherosclerosis (PVA) is a chronic inflammatory disease characterized by lipid accumulation in blood vessel walls, leading to vessel narrowing and inadequate blood supply. However, the molecular mechanisms underlying PVA remain poorly understood. In this study, we employed a combination of Mendelian randomization (MR) analysis and integrated transcriptomics to identify the crit	Frontiers in genetics	2024	PMC11039871	False
38671846	The Association of Redox Regulatory Drug Target Genes with Psychiatric Disorders: A Mendelian Randomization Study.	Redox regulatory drug (RRD) targets may be considered potential novel drug targets of psychosis due to the fact that the brain is highly susceptible to oxidative stress imbalance. The aim of the present study is to identify potential associations between RRD targets' perturbation and the risk of psychoses; to achieve this, Mendelian randomization analyses were conducted. The expression quantitativ	Antioxidants (Basel, Switzerland)	2024	PMC11047424	True
