pmid	pmc	year	journal	title	strict_C1_known_locus	strict_C2_coloc	strict_C3_power_stability	strict_C4_instrument_count	strict_C5_smr_heidi	wide_C1_known_locus	wide_C2_coloc	wide_C3_power_stability	wide_C4_instrument_count	wide_C5_smr_heidi
37799268	PMC10554754	2023	Frontiers in lupus	Modeling of horizontal pleiotropy identifies possible causal gene expression in systemic lupus erythematosus.	0	0	0	1	1	0	0	1	1	1
38316767	PMC10844634	2024	Translational psychiatry	Brain tissue- and cell type-specific eQTL Mendelian randomization reveals efficacy of FADS1 and FADS2 on cognitive funct	0	1	0	1	0	1	1	1	1	0
38566986	PMC10985171	2024	Frontiers in immunology	Transcriptomics in idiopathic pulmonary fibrosis unveiled: a new perspective from differentially expressed genes to ther	0	0	0	0	0	0	0	0	0	0
38671846	PMC11047424	2024	Antioxidants (Basel, Switzerland)	The Association of Redox Regulatory Drug Target Genes with Psychiatric Disorders: A Mendelian Randomization Study.	0	1	0	1	0	0	1	0	1	0
38735387	PMC11976564	2025	Journal of advanced research	Association of intestinal anti-inflammatory drug target genes with psychiatric Disorders: A Mendelian randomization stud	0	1	0	0	0	0	1	0	0	0
38783236	PMC11118997	2024	Respiratory research	Identifying potential drug targets for idiopathic pulmonary fibrosis: a mendelian randomization study based on the drugg	0	1	0	1	0	1	1	0	1	0
38903171	PMC11187347	2024	Frontiers in neurology	Therapeutic targets for age-related macular degeneration: proteome-wide Mendelian randomization and colocalization analy	0	1	0	1	1	0	1	1	1	1
39040085	PMC11261789	2024	The World Allergy Organization journal	Unraveling genetic threads: Identifying novel therapeutic targets for allergic rhinitis through Mendelian randomization.	0	1	0	1	1	0	1	0	1	1
39055656	PMC11269132	2024	Frontiers in cardiovascular medicine	Identification of atrial fibrillation-related genes through transcriptome data analysis and Mendelian randomization.	0	0	0	1	0	0	0	0	1	0
39076991	PMC11284051	2024	Frontiers in immunology	Integrated analyses of single-cell transcriptome and Mendelian randomization reveal the protective role of FCRL3 in mult	0	1	0	0	0	0	1	0	0	1
39130628	PMC11310057	2024	Frontiers in pharmacology	Integrating Mendelian randomization and single-cell RNA sequencing to identify therapeutic targets of baicalin for type 	0	1	0	0	0	0	1	0	0	0
39268462	PMC11390638	2024	Frontiers in pharmacology	Identification of biomarkers and potential drug targets in osteoarthritis based on bioinformatics analysis and mendelian	0	0	0	0	0	0	0	0	0	0
39354406	PMC11443760	2024	BMC cardiovascular disorders	Exploration of protein and genetic targets causing atrioventricular block: mendelian-randomization analyses based on eQT	0	1	0	1	0	0	1	1	1	0
39358799	PMC11446024	2024	Journal of ovarian research	Identifying therapeutic targets for primary ovarian insufficiency through integrated genomic analyses.	0	1	0	0	1	0	1	0	0	1
39379957	PMC11463126	2024	BMC medical genomics	Lipid-lowering drugs and risk of rapid renal function decline: a mendelian randomization study.	0	0	0	0	1	0	0	1	0	1
39614330	PMC11606077	2024	Breast cancer research : BCR	Uncovering immune cell-associated genes in breast cancer: based on summary data-based Mendelian randomized analysis and 	0	1	0	0	1	0	1	0	0	1
39716115	PMC11668092	2024	BMC pregnancy and childbirth	Systematic druggable genome-wide Mendelian randomization identifies therapeutic targets for hyperemesis gravidarum.	0	1	0	0	1	0	1	0	0	1
39716299	PMC11667973	2024	Biology direct	Integrated Mendelian randomization and single-cell RNA-sequencing analyses identified OAS1 as a novel therapeutic target	0	0	0	0	1	0	0	0	0	1
39762453	PMC11703992	2025	Inflammation research : official journal of the European Histamine Research Society ... [et al.]	Causal genes identification of giant cell arteritis in CD4+&#x2009;Memory t cells: an integration of multi-omics and exp	0	1	0	1	0	0	1	1	1	0
39794838	PMC11720623	2025	Alzheimer's research &amp; therapy	Association of antihypertensive drug target genes with alzheimer's disease: a mendelian randomization study.	0	1	0	0	1	0	1	1	0	1
39799347	PMC11725218	2025	Journal of translational medicine	Possible linking and treatment between Parkinson's disease and inflammatory bowel disease: a study of Mendelian randomiz	0	1	0	1	0	0	1	0	1	0
39821516	PMC11771784	2025	Journal of clinical hypertension (Greenwich, Conn.)	Dissecting Causal Relationships Between Antihypertensive Drug, Gut Microbiota, and Type 2 Diabetes Mellitus and Its Comp	0	1	0	0	1	0	1	1	0	1
39830273	PMC11741481	2025	medRxiv : the preprint server for health sciences	Multi-Omics Analysis for Identifying Cell-Type-Specific Druggable Targets in Alzheimer's Disease.	0	1	0	0	1	1	1	1	0	1
39833228	PMC11746978	2025	Scientific reports	Brain gliomas new transcriptomic discoveries from differentially expressed genes to therapeutic targets.	0	0	0	0	0	0	0	0	0	0
39868518	PMC12074789	2025	Journal of the American Heart Association	Insights Into Causal Effects of Genetically Proxied Lipids and Lipid-Modifying Drug Targets on Cardiometabolic Diseases.	0	1	0	0	0	1	1	1	0	0
39926389	PMC11802419	2024	Frontiers in endocrinology	Associations between lipid-lowering drugs and urate and gout outcomes: a Mendelian randomization study.	0	0	0	1	1	0	0	0	1	1
39933264	PMC11867302	2025	EBioMedicine	Single-cell transcriptome-wide Mendelian randomization and colocalization reveals immune-mediated regulatory mechanisms 	0	1	0	1	0	0	1	1	1	0
39949133	PMC11825984	2025	Journal of cachexia, sarcopenia and muscle	Association Analysis of the Circulating Proteome With Sarcopenia-Related Traits Reveals Potential Drug Targets for Sarco	0	1	0	0	0	0	1	0	0	0
39950180	PMC11821612	2025	Frontiers in psychiatry	NEK4: prediction of available drug targets and common genetic linkages in bipolar disorder and major depressive disorder	0	0	0	0	1	0	0	0	0	1
39966747	PMC11834470	2025	BMC cancer	Multi-omics integration analysis of the amino-acid metabolism-related genes identifies putatively causal variants of ACC	0	1	0	0	1	0	1	0	0	1
40087664	PMC11909985	2025	BMC cancer	Genetically proxied therapeutic inhibition of antihypertensive drug targets and risk of pancreatic cancer: a mendelian r	0	0	0	1	0	0	0	1	1	0
40095250	PMC11914663	2025	Discover oncology	Genetic association of lipids and lipid-lowering drug target genes with breast cancer.	0	0	0	1	1	0	0	0	1	1
40116326	PMC11927037	2025	Journal of global health	Identifying potential drug targets for sepsis-related adult respiratory distress syndrome through comprehensive genetic 	0	0	0	0	1	0	0	0	0	1
40131544	PMC11937463	2025	Cancer immunology, immunotherapy : CII	DNA methylation-regulated HLA-C expression modulates immune responses and metabolic alterations to influence prognosis i	0	0	0	0	0	0	0	0	0	0
40140823	PMC11938603	2025	Lipids in health and disease	Druggable genome-wide Mendelian randomization identifies therapeutic targets for metabolic dysfunction-associated steato	0	1	0	1	1	0	1	0	1	1
40149725	PMC11939929	2025	Biomedicines	Multi-Omics Integration Reveals Mitochondrial Gene Regulation as a Determinant of Tuberculosis Susceptibility: A Mendeli	0	1	0	0	1	1	1	0	0	1
40211130	PMC11983800	2025	BMC cancer	Investigating potential drug targets for the treatment of glioblastoma: a Mendelian randomization study.	0	1	0	1	0	0	1	1	1	0
40248742	PMC12000963	2025	Translational lung cancer research	Single cell RNA-seq and bulk RNA-seq analysis identifies MUC1 as a key gene for lung adenocarcinoma to neuroendocrine tr	0	1	0	0	0	0	1	0	0	0
40301928	PMC12039192	2025	Diabetology &amp; metabolic syndrome	Identifying therapeutic target genes for diabetic retinopathy using systematic druggable genome-wide Mendelian randomiza	0	1	0	1	0	0	1	0	1	0
40360443	PMC12074867	2025	Journal of cellular and molecular medicine	Revealing Putative Causal Genes by Establishing the Causality Between Different Lymphomas and Immune Cells.	0	1	0	0	1	0	1	1	0	1
40374962	PMC12081795	2025	Discover oncology	Deciphering the role of acetylation-related gene NAT10 in colon cancer progression and immune evasion: implications for 	0	0	0	0	1	0	0	0	1	1
40443776	PMC12121511	2025	Food science &amp; nutrition	Mendelian Randomization Assessment of the Genetic Effects of Lipid-Lowering Drugs on Digestive System Cancers.	0	1	0	1	1	0	1	0	1	1
40463915	PMC12130657	2025	Clinical Medicine Insights. Oncology	Causal Association Between Lung Cancer and Rash: A Bidirectional Mendelian Randomization Study.	0	0	0	1	0	0	0	1	1	0
40495162	PMC12150496	2025	Nutrition &amp; metabolism	Integrative multi-omics investigation of sleep apnea: gut microbiome metabolomics, proteomics and phenome-wide associati	0	1	0	1	1	1	1	1	1	1
