locus	n_named	accepted	hit	named
10_23	2	OBFC1;STN1	True	OBFC1;RP11-541N10.3
11_0	1	TYR	False	ODF3
11_17	1			ACAT1
11_20	1			ARHGEF12
15_2	2	HERC2;OCA2	False	HERC2P9;WHAMMP2
16_15	16	MC1R	False	AC137932.6;AC137934.1;ACSF3;AFG3L1P;C16orf55;CDK10...
17_0	1			TP53
1_23	7	SETDB1	True	C1orf138;CERS2;GOLPH3L;HORMAD1;MCL1;Metazoa_SRP...
1_24	1			ZBTB7B
20_12	1			HELZ2
20_8	7			CHMP4B;EIF2S2;ITCH;MAP1LC3A;RP1-64K7.4;RP5-1125A11.1...
21_6	1	MX2	True	MX2
22_1	3	PLA2G6	True	PLA2G6;RP1-5O6.6;TMEM184B
2_41	4	CASP8	True	ALS2CR12;CASP10;CASP8;CFLAR
2_8	2			ATL2;RMDN2
6_0	1	IRF4	True	IRF4
6_4	1			SOX4
6_6	2			HLA-DQA2;HLA-DRB1
9_0	1	MTAP;CDKN2A	False	C9orf66
9_23	1			RP11-308N19.1
