cell	bg_loci	bg_known	sig_loci	sig_known	pct_known	fold	fisher_p	n_records	coverage_pct
C1 Soskic x melanoma R12	546	57	2	2	100.0	9.579	0.01072688779111386		
C1 Soskic x melanoma R13	546	57	2	2	100.0	9.579	0.01072688779111386		
NC C1 R13 scored with HCC list	546	31	2	0	0.0	0.0	1.0		
REF eQTLGen x melanoma META (S22)	559	84	30	20	66.7	4.437	3.724056802770761e-11	12835.0	100.0
C2 eQTLGen x melanoma R12	559	84	18	10	55.6	3.697	5.598103665314853e-05	12835.0	100.0
C2 eQTLGen x melanoma R13	559	84	16	9	56.2	3.743	0.00012227890086661137	12835.0	100.0
C3 Soskic x HCC R12	564	32	2	2	100.0	17.625	0.0031240945794450406	3686.0	100.0
C3 Soskic x HCC R13	564	32	2	2	100.0	17.625	0.0031240945794450406	3686.0	100.0
C4 eQTLGen x HCC R12	559	43	3	2	66.7	8.667	0.01651735264985361	12835.0	100.0
C4 eQTLGen x HCC R13	559	43	4	3	75.0	9.75	0.0016127659459451752	12835.0	100.0
