key	value
A.background_loci	554
A.background_known	58
A.background_pct	10.47
A.significant_loci	7
A.significant_known	3
A.pct_known	42.9
A.fold	4.09
A.fisher_p_one_sided	0.028123181205575935
A_nc.fold	0.0
A_nc.fisher_p_one_sided	0.999999999999656
B.record.n_tests	3556
B.record.n_significant	21
B.record.n_genes	10
B.record.n_loci	7
B.variant.n_tests	2126
B.variant.n_significant	15
B.variant.n_genes	11
B.variant.n_loci	7
B.gene.n_tests	1255
B.gene.n_significant	13
B.gene.n_genes	13
B.gene.n_loci	9
B.locus.n_tests	554
B.locus.n_significant	8
B.locus.n_genes	28
B.locus.n_loci	8
C.genes_outcome1	10
C.genes_outcome2	6
C.genes_shared	5
C.jaccard_gene	0.455
C.loci_outcome1	7
C.loci_outcome2	2
C.jaccard_locus	0.286
D.pathway_genes	28
D.instrumentable	3
D.analysable	2
D.associated	1
G.known.100.background_loci	554
G.known.100.background_known	13
G.known.100.significant_loci	7
G.known.100.significant_known	3
G.known.100.fold	18.26
G.known.100.fisher_p_one_sided	0.0003361896157234458
G.known.250.background_loci	554
G.known.250.background_known	29
G.known.250.significant_loci	7
G.known.250.significant_known	3
G.known.250.fold	8.19
G.known.250.fisher_p_one_sided	0.003929335816495441
G.known.500.background_loci	554
G.known.500.background_known	42
G.known.500.significant_loci	7
G.known.500.significant_known	3
G.known.500.fold	5.65
G.known.500.fisher_p_one_sided	0.011470299500690962
G.known.1000.background_loci	554
G.known.1000.background_known	58
G.known.1000.significant_loci	7
G.known.1000.significant_known	3
G.known.1000.fold	4.09
G.known.1000.fisher_p_one_sided	0.028123181205575935
G.locus.100.background_loci	1065
G.locus.100.significant_loci	8
G.locus.100.fold	5.33
G.locus.100.fisher_p_one_sided	0.003817394683115093
G.locus.250.background_loci	876
G.locus.250.significant_loci	7
G.locus.250.fold	4.63
G.locus.250.fisher_p_one_sided	0.020299904356983107
G.locus.500.background_loci	728
G.locus.500.significant_loci	7
G.locus.500.fold	4.59
G.locus.500.fisher_p_one_sided	0.020767428243743363
G.locus.1000.background_loci	554
G.locus.1000.significant_loci	7
G.locus.1000.fold	4.09
G.locus.1000.fisher_p_one_sided	0.028123181205575935
G.dist.0	5491
G.dist.1	11067
G.dist.2	73995
G.dist.3	2166836
G.dist.4	7275442
G.dist.5	20136133
G.dist.6	38493779
