phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_ACTINOMYCOSIS	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	132	433757	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ACTINOMYCOSIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ACTINOMYCOSIS.gz
AB1_ACTINOMYCOSIS_WIDE	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	150	433744	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ACTINOMYCOSIS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ACTINOMYCOSIS_WIDE.gz
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	201	441806	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_AMOEBIASIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_AMOEBIASIS.gz
AB1_AMOEBIASIS_WIDE	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	297	441743	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_AMOEBIASIS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_AMOEBIASIS_WIDE.gz
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2617	484932	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ANOGENITAL_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ANOGENITAL_HERPES_SIMPLEX.gz
AB1_ANOGENITAL_HERPES_SIMPLEX_WIDE	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	4806	482917	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ANOGENITAL_HERPES_SIMPLEX_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ANOGENITAL_HERPES_SIMPLEX_WIDE.gz
AB1_ANUG_WIDE	Acute necrotizing ulcerative gingivitis	I Certain infectious and parasitic diseases (AB1_)	50	500136	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ANUG_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ANUG_WIDE.gz
AB1_ARTHROPOD_WIDE	Arthropod-borne viral fevers and viral haemorrhagic fevers	I Certain infectious and parasitic diseases (AB1_)	7739	492447	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ARTHROPOD_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ARTHROPOD_WIDE.gz
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	295	487915	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ASPERGILLOSIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ASPERGILLOSIS.gz
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	337	497246	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ATYPICAL_CNS_VIRUS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ATYPICAL_CNS_VIRUS.gz
