cell	role	known_kb	locus_kb	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	mismatch_fold	mismatch_p	control	max_sig_span_kb
melanoma x Soskic_CD4	main	1000	100	1119	102	9	5	6.09	0.000536212521131746	0	1	clean	94
melanoma x Soskic_CD4	main	1000	250	941	91	8	4	5.17	0.00423754501347866	0	1	clean	241
melanoma x Soskic_CD4	main	1000	500	800	76	7	3	4.51	0.0218108150842911	0	1	clean	277
melanoma x Soskic_CD4	main	1000	1000	655	66	8	4	4.96	0.00484067292102242	0	1	clean	870
melanoma x eQTLGen_blood	main	1000	100	6123	573	48	36	8.01	7.85292622895694e-28	1.23	0.445647979855461	clean	98
melanoma x eQTLGen_blood	main	1000	250	3976	370	38	26	7.35	6.43352579155664e-19	1.62	0.282596738257959	clean	250
melanoma x eQTLGen_blood	main	1000	500	2643	253	36	25	7.25	2.52943430936062e-18	1.62	0.281946290589158	clean	499
melanoma x eQTLGen_blood	main	1000	1000	1678	180	34	23	6.31	1.34733811096808e-15	1.59	0.290590161170249	clean	999
HCC_high x Soskic_CD4	main	1000	100	1093	81	2	1	6.75	0.142786764927662	0	1	clean	40
HCC_high x Soskic_CD4	main	1000	250	923	61	2	1	7.57	0.127876889234624	0	1	clean	214
HCC_high x Soskic_CD4	main	1000	500	785	49	2	1	8.01	0.121019108280255	0	1	clean	214
HCC_high x Soskic_CD4	main	1000	1000	646	41	2	1	7.88	0.122999016007872	0	1	clean	214
HCC_high x eQTLGen_blood	main	1000	100	5957	308	8	5	12.09	1.76177221536019e-05	0	1	clean	98
HCC_high x eQTLGen_blood	main	1000	250	3899	192	8	6	15.23	3.40684311271301e-07	0	1	clean	239
HCC_high x eQTLGen_blood	main	1000	500	2606	136	6	4	12.77	9.81891288291233e-05	0	1	clean	450
HCC_high x eQTLGen_blood	main	1000	1000	1666	92	5	3	10.87	0.00150414083167835	0	1	clean	953
RA x Soskic_CD4	main	1000	100	1075	107	57	21	3.7	1.49490590469459e-08	2.48	0.00123435587478625	FAILED	100
RA x Soskic_CD4	main	1000	250	912	88	50	19	3.94	2.08875907563764e-08	2.07	0.0166458879231362	FAILED	245
RA x Soskic_CD4	main	1000	500	781	78	43	17	3.96	9.4961667338275e-08	1.99	0.0389551637510545	FAILED	496
RA x Soskic_CD4	main	1000	1000	641	64	41	16	3.91	2.33226619689043e-07	1.71	0.10241284647765	clean	992
RA x eQTLGen_blood	main	1000	100	6123	544	157	60	4.3	1.87838940484264e-24	1.97	0.000248390183818532	FAILED	100
RA x eQTLGen_blood	main	1000	250	3976	348	142	55	4.43	1.30617714132493e-23	1.82	0.00255408266337031	FAILED	250
RA x eQTLGen_blood	main	1000	500	2643	239	123	48	4.32	1.03272935435198e-20	1.87	0.00241559024320088	FAILED	499
RA x eQTLGen_blood	main	1000	1000	1678	164	109	42	3.94	3.25522920094405e-17	2.05	0.000289447282199804	FAILED	1000
HCC_low x Soskic_CD4	power sensitivity	1000	100	1146	85	2	2	13.48	0.00544136811541187	0	1	clean	47
HCC_low x Soskic_CD4	power sensitivity	1000	250	962	63	2	2	15.27	0.00422506874119777	0	1	clean	214
HCC_low x Soskic_CD4	power sensitivity	1000	500	815	51	2	2	15.98	0.00384377684991182	0	1	clean	214
HCC_low x Soskic_CD4	power sensitivity	1000	1000	666	43	2	2	15.49	0.00407776197249882	0	1	clean	214
HCC_low x eQTLGen_blood	power sensitivity	1000	100	6123	312	6	5	16.35	1.91546390548663e-06	0	1	clean	98
HCC_low x eQTLGen_blood	power sensitivity	1000	250	3976	194	6	5	17.08	1.51664233136497e-06	0	1	clean	239
HCC_low x eQTLGen_blood	power sensitivity	1000	500	2643	136	5	4	15.55	3.22597644535219e-05	2.09	0.395592928649845	clean	495
HCC_low x eQTLGen_blood	power sensitivity	1000	1000	1678	93	4	3	13.53	0.000633737339612804	2.33	0.36511867117564	clean	928
