list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
melanoma	655	15	8	4	21.83	1.19067757570557e-05	melanoma x Soskic_CD4	known_kb	100	own outcome
HCC	655	8	8	0	0	1	melanoma x Soskic_CD4	known_kb	100	unrelated control
colorectal	655	37	8	0	0	1	melanoma x Soskic_CD4	known_kb	100	unrelated control
prostate	655	4	8	1	20.47	0.0480753886757561	melanoma x Soskic_CD4	known_kb	100	unrelated control
RA	655	16	8	0	0	1	melanoma x Soskic_CD4	known_kb	100	unrelated control
melanoma	1119	102	9	5	6.09	0.000536212521131746	melanoma x Soskic_CD4	locus_kb	100	own outcome
HCC	1119	85	9	0	0	1	melanoma x Soskic_CD4	locus_kb	100	unrelated control
colorectal	1119	263	9	1	0.47	0.911187299076652	melanoma x Soskic_CD4	locus_kb	100	unrelated control
prostate	1119	47	9	1	2.65	0.321317696681651	melanoma x Soskic_CD4	locus_kb	100	unrelated control
RA	1119	113	9	0	0	1	melanoma x Soskic_CD4	locus_kb	100	unrelated control
melanoma	655	31	8	4	10.56	0.00025325346605341	melanoma x Soskic_CD4	known_kb	250	own outcome
HCC	655	17	8	0	0	1	melanoma x Soskic_CD4	known_kb	250	unrelated control
colorectal	655	67	8	0	0	1	melanoma x Soskic_CD4	known_kb	250	unrelated control
prostate	655	12	8	1	6.82	0.138196574177184	melanoma x Soskic_CD4	known_kb	250	unrelated control
RA	655	35	8	0	0	1	melanoma x Soskic_CD4	known_kb	250	unrelated control
melanoma	941	91	8	4	5.17	0.00423754501347866	melanoma x Soskic_CD4	locus_kb	250	own outcome
HCC	941	63	8	0	0	1	melanoma x Soskic_CD4	locus_kb	250	unrelated control
colorectal	941	219	8	1	0.54	0.880975414228237	melanoma x Soskic_CD4	locus_kb	250	unrelated control
prostate	941	40	8	1	2.94	0.294487843720817	melanoma x Soskic_CD4	locus_kb	250	unrelated control
RA	941	91	8	0	0	1	melanoma x Soskic_CD4	locus_kb	250	unrelated control
melanoma	655	46	8	4	7.12	0.0012164606541685	melanoma x Soskic_CD4	known_kb	500	own outcome
HCC	655	22	8	0	0	1	melanoma x Soskic_CD4	known_kb	500	unrelated control
colorectal	655	102	8	0	0	1	melanoma x Soskic_CD4	known_kb	500	unrelated control
prostate	655	20	8	1	4.09	0.220762048202091	melanoma x Soskic_CD4	known_kb	500	unrelated control
RA	655	46	8	0	0	1	melanoma x Soskic_CD4	known_kb	500	unrelated control
melanoma	800	76	7	3	4.51	0.0218108150842911	melanoma x Soskic_CD4	locus_kb	500	own outcome
HCC	800	51	7	0	0	1	melanoma x Soskic_CD4	locus_kb	500	unrelated control
colorectal	800	182	7	1	0.63	0.83710376111349	melanoma x Soskic_CD4	locus_kb	500	unrelated control
prostate	800	34	7	1	3.36	0.263008220290357	melanoma x Soskic_CD4	locus_kb	500	unrelated control
RA	800	81	7	0	0	1	melanoma x Soskic_CD4	locus_kb	500	unrelated control
melanoma	655	66	8	4	4.96	0.00484067292102242	melanoma x Soskic_CD4	known_kb	1000	own outcome
