Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
6	ENSG00000124570	0	2972165	ENSG00000124570	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000124570.esd
10	ENSG00000057608	0	5842132	ENSG00000057608	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000057608.esd
8	ENSG00000079459	0	11839309	ENSG00000079459	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000079459.esd
8	ENSG00000104219	0	17224799	ENSG00000104219	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000104219.esd
12	ENSG00000111671	0	6889358	ENSG00000111671	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000111671.esd
1	ENSG00000168765	0	109674836	ENSG00000168765	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000168765.esd
1	ENSG00000163131	0	150765957	ENSG00000163131	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000163131.esd
2	ENSG00000135968	0	108509415	ENSG00000135968	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000135968.esd
9	ENSG00000135047	0	87731393	ENSG00000135047	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000135047.esd
9	ENSG00000148290	0	133356676	ENSG00000148290	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000148290.esd
17	ENSG00000170291	0	7259940	ENSG00000170291	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000170291.esd
17	ENSG00000141504	0	7627876	ENSG00000141504	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000141504.esd
17	ENSG00000120071	0	46225374	ENSG00000120071	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000120071.esd
17	ENSG00000178607	0	64130819	ENSG00000178607	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000178607.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000141560.esd
11	ENSG00000149485	0	61829318	ENSG00000149485	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000149485.esd
11	ENSG00000173457	0	64246941	ENSG00000173457	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000173457.esd
11	ENSG00000256940	0	64248217	ENSG00000256940	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000256940.esd
11	ENSG00000109861	0	88337787	ENSG00000109861	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000109861.esd
3	ENSG00000144895	0	150584242	ENSG00000144895	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000144895.esd
7	ENSG00000277149	0	72828198	ENSG00000277149	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000277149.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000158525.esd
19	ENSG00000099817	0	1095380	ENSG00000099817	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000099817.esd
4	ENSG00000244459	0	1580253	ENSG00000244459	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000244459.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000260349.esd
16	ENSG00000176476	0	28591790	ENSG00000176476	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000176476.esd
16	ENSG00000178952	0	28846408	ENSG00000178952	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000178952.esd
16	ENSG00000125148	0	56609497	ENSG00000125148	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000125148.esd
16	ENSG00000187193	0	56684196	ENSG00000187193	+	D:/R_ex/MR\esd\CD4_Memory_uns_0h__ENSG00000187193.esd
