Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
3	ENSG00000180376	0	56621818	ENSG00000180376	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000180376.esd
3	ENSG00000144741	0	66388116	ENSG00000144741	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000144741.esd
15	ENSG00000166140	0	40815084	ENSG00000166140	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000166140.esd
15	ENSG00000140416	0	63071915	ENSG00000140416	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000140416.esd
15	ENSG00000166839	0	64958700	ENSG00000166839	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000166839.esd
11	ENSG00000110665	0	2303049	ENSG00000110665	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000110665.esd
11	ENSG00000175348	0	8965011	ENSG00000175348	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000175348.esd
11	ENSG00000175567	0	73983307	ENSG00000175567	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000175567.esd
11	ENSG00000246174	0	78175323	ENSG00000246174	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000246174.esd
1	ENSG00000142675	0	26189886	ENSG00000142675	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000142675.esd
1	ENSG00000266472	0	150308979	ENSG00000266472	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000266472.esd
1	ENSG00000235750	0	175192999	ENSG00000235750	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000235750.esd
1	ENSG00000198625	0	204558120	ENSG00000198625	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000198625.esd
21	ENSG00000160194	0	42913304	ENSG00000160194	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000160194.esd
10	ENSG00000057608	0	5842132	ENSG00000057608	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000057608.esd
10	ENSG00000138185	0	95869695	ENSG00000138185	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000138185.esd
10	ENSG00000166272	0	102816267	ENSG00000166272	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000166272.esd
10	ENSG00000166275	0	102864961	ENSG00000166275	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000166275.esd
19	ENSG00000167468	0	1106791	ENSG00000167468	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000167468.esd
19	ENSG00000099308	0	18151692	ENSG00000099308	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000099308.esd
19	ENSG00000197134	0	22091480	ENSG00000197134	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000197134.esd
20	ENSG00000089012	0	1657779	ENSG00000089012	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000089012.esd
20	ENSG00000177410	0	49295738	ENSG00000177410	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000177410.esd
14	ENSG00000165410	0	34714823	ENSG00000165410	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000165410.esd
14	ENSG00000205659	0	74201235	ENSG00000205659	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000205659.esd
17	ENSG00000258315	0	7017525	ENSG00000258315	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000258315.esd
17	ENSG00000181885	0	7263983	ENSG00000181885	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000181885.esd
17	ENSG00000176974	0	18363563	ENSG00000176974	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000176974.esd
17	ENSG00000141127	0	18931287	ENSG00000141127	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000141127.esd
17	ENSG00000120071	0	46225374	ENSG00000120071	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000120071.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000141560.esd
2	ENSG00000115750	0	9934416	ENSG00000115750	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000115750.esd
2	ENSG00000157992	0	27446481	ENSG00000157992	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000157992.esd
2	ENSG00000163599	0	203873960	ENSG00000163599	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000163599.esd
7	ENSG00000136250	0	36724549	ENSG00000136250	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000136250.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000158525.esd
22	ENSG00000100376	0	45341955	ENSG00000100376	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000100376.esd
12	ENSG00000166896	0	57957269	ENSG00000166896	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000166896.esd
12	ENSG00000139428	0	109573874	ENSG00000139428	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000139428.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000260349.esd
5	ENSG00000155542	0	56925532	ENSG00000155542	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000155542.esd
5	ENSG00000171530	0	77868780	ENSG00000171530	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000171530.esd
5	ENSG00000131507	0	142154443	ENSG00000131507	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000131507.esd
9	ENSG00000155158	0	15307360	ENSG00000155158	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000155158.esd
6	ENSG00000124588	0	3028869	ENSG00000124588	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000124588.esd
6	ENSG00000186470	0	26378320	ENSG00000186470	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000186470.esd
6	ENSG00000234745	0	31357188	ENSG00000234745	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000234745.esd
6	ENSG00000180992	0	44127457	ENSG00000180992	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_5d__ENSG00000180992.esd
