rsid,chr,pos
rs12818766,12,4266925
rs2437844,8,116610332
rs61389091,11,74716876
rs7931342,11,69227030
rs9946510,18,48931857
rs6107853,20,6629230
rs7299936,12,115496195
rs1412834,9,22110132
rs3731861,2,218326533
rs11874392,18,48926786
rs7300312,12,115453117
rs6983267,8,127401060
rs6067449,20,50440303
rs11699612,20,6484986
rs62404966,6,55847326
rs72777082,10,8696322
rs2423279,20,7831703
rs4976270,5,135131530
rs8020436,14,58741719
rs73039433,19,33033698
rs2193352,10,99586852
rs3217874,12,4291642
rs35409710,6,32661126
rs6507874,18,48922435
rs3217810,12,4279105
rs11236173,11,74621217
rs73110464,12,52918828
rs7859362,9,22105928
rs34963268,1,22384384
rs385816,6,29512447
rs1445011,5,40280100
rs12708491,15,32700635
rs28774977,8,127418562
rs4968127,17,906403
rs4871022,8,127415475
rs61510274,3,134030671
rs9271363,6,32618955
rs6678517,1,183033504
rs12143541,1,54782179
rs11066132,12,112030402
rs4675253,2,199023809
rs6066825,20,48723580
rs2302274,5,150166863
rs78540526,11,69516650
rs45597035,13,73075014
rs8179460,1,183087087
rs4583925,5,1248932
rs11190164,10,99591947
rs11213825,11,111309665
rs11065991,12,111645358
rs1884897,20,6632185
rs11065979,12,111621753
rs2053423,15,66733879
rs2070699,6,12292539
rs6117251,20,6425793
rs3087967,11,111286111
rs17816465,15,32864185
rs149212747,12,111398968
rs11157780,14,50904412
rs961253,20,6423634
rs16892766,8,116618444
rs13080929,3,52851096
rs11196172,10,112967084
rs35564340,10,99584506
rs11255841,10,8697617
rs371061408,1,221974208
rs10318,15,32733778
rs117079142,8,116778675
rs1800734,3,36993455
rs75686861,4,144700176
rs11169572,12,50823107
rs4871788,8,127409540
rs12514517,5,40279974
rs112149573,16,52547333
rs10849434,12,6297878
rs11108175,12,95657111
rs2450115,8,116611854
rs189583,20,6395810
rs11727676,4,144737912
rs7494781,15,32695937
rs4939567,18,48925503
rs57796856,11,74627310
rs12822984,12,115450699
rs7894531,10,8692798
rs4944940,11,74704207
rs1562871,8,127389527
rs7398375,12,57147065
rs11604752,11,74566099
rs2735940,5,1296371
rs17011146,1,221940306
rs10795668,10,8659256
rs2007403,4,105210053
rs35470271,3,40873748
rs4939824,18,48866020
rs174537,11,61785208
rs597808,12,111535554
rs75954926,17,83104098
rs58658771,15,32709533
rs704017,10,79059375
rs11651755,17,37739849
rs12601991,17,37741642
rs34863430,12,50807975
rs7463708,8,127091810
rs16970016,15,32703097
rs2293581,15,32718535
rs62329683,5,1298972
rs2015069,8,116627293
rs9924886,16,68710036
rs10757272,9,22088261
rs79207432,15,32719496
rs77776598,5,1240883
rs6085661,20,6712481
rs117042741,11,74917698
rs9733843,10,8676041
rs1017698,2,218305802
rs1182197,7,2823655
rs12682374,8,127398703
rs6086196,20,7769310
rs1537372,9,22103184
rs6507877,18,48932580
rs12635946,3,113198071
rs966816,20,6395834
rs6469656,8,116635549
rs11255815,10,8672502
rs34099011,1,183116075
rs12025420,1,221975001
rs113569514,3,134029945
rs72712390,8,127417407
rs35107139,14,53952388
rs1919364,15,32717373
rs7014346,8,127412547
rs10505477,8,127395198
rs12120034,1,221969633
rs16878812,6,35601785
rs6077004,20,6462314
rs6012915,20,50370030
rs994308,20,6622975
rs35204860,17,83095585
rs1445012,5,40282004
rs6095946,20,50443654
rs73039434,19,33034013
rs12427846,13,36917513
rs7226855,18,48927678
rs174576,11,61836038
rs7013278,8,127402647
rs143926630,6,158231164
rs6140071,20,6725846
rs75128197,8,116722350
rs10908278,17,37739961
rs3851294,1,205161285
rs12372718,12,50777307
rs4546885,1,183056420
rs1078643,17,10803924
rs1554865,15,32707605
rs647161,5,135163402
rs17630235,12,112153882
rs17011141,1,221939292
rs13086367,3,113185041
rs10808556,8,127400902
rs7557709,2,218302806
rs9470361,6,36655602
rs73376930,15,32720301
rs61776719,1,37995647
rs6469654,8,116620726
rs4939827,18,48927093
rs4813802,20,6718948
rs2981584,10,121590702
rs7722513,5,135128376
rs11169484,12,50541148
rs3802842,11,111300984
rs12241008,10,112520943
rs11200014,10,121575416
rs28840750,19,33029021
rs1741640,20,62357358
rs7229639,18,48924606
rs76880073,10,112516902
rs11236187,11,74653521
rs653178,12,111569952
rs3936188,16,80002943
rs6948177,7,47471143
rs11130329,3,52862839
rs6507878,18,48937386
rs1219651,10,121584987
rs1800469,19,41354391
rs2730985,12,42736822
rs34797592,19,16306387
rs7121958,11,74568967
rs10049390,3,133982275
rs2337113,18,48925957
rs16969681,15,32700910
rs6055286,20,7737398
rs78368589,5,1240089
rs4919687,10,102835491
rs7194355,16,68736385
rs80158569,14,99316600
rs12358150,10,8693781
rs11169552,12,50761880
rs4341754,16,80005724
rs10462706,5,1343679
