Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
6	ENSG00000079691	0	25620530	ENSG00000079691	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000079691.esd
6	ENSG00000186470	0	26378320	ENSG00000186470	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000186470.esd
6	ENSG00000198502	0	32530287	ENSG00000198502	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000198502.esd
10	ENSG00000057608	0	5842132	ENSG00000057608	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000057608.esd
10	ENSG00000138185	0	95869695	ENSG00000138185	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000138185.esd
10	ENSG00000166275	0	102864961	ENSG00000166275	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000166275.esd
12	ENSG00000111671	0	6889358	ENSG00000111671	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000111671.esd
12	ENSG00000167768	0	52680407	ENSG00000167768	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000167768.esd
12	ENSG00000166896	0	57957269	ENSG00000166896	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000166896.esd
1	ENSG00000198625	0	204558120	ENSG00000198625	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000198625.esd
2	ENSG00000163599	0	203873960	ENSG00000163599	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000163599.esd
9	ENSG00000167136	0	128822677	ENSG00000167136	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000167136.esd
17	ENSG00000170291	0	7259940	ENSG00000170291	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000170291.esd
17	ENSG00000213859	0	7354944	ENSG00000213859	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000213859.esd
17	ENSG00000141504	0	7627876	ENSG00000141504	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000141504.esd
17	ENSG00000176974	0	18363563	ENSG00000176974	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000176974.esd
17	ENSG00000120071	0	46225374	ENSG00000120071	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000120071.esd
17	ENSG00000178607	0	64130819	ENSG00000178607	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000178607.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000141560.esd
11	ENSG00000064201	0	2318200	ENSG00000064201	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000064201.esd
11	ENSG00000110077	0	60184666	ENSG00000110077	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000110077.esd
11	ENSG00000236935	0	64329504	ENSG00000236935	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000236935.esd
11	ENSG00000246174	0	78175323	ENSG00000246174	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000246174.esd
11	ENSG00000109861	0	88337787	ENSG00000109861	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000109861.esd
11	ENSG00000118181	0	119018691	ENSG00000118181	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000118181.esd
3	ENSG00000271964	0	16314987	ENSG00000271964	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000271964.esd
7	ENSG00000164597	0	107564514	ENSG00000164597	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000164597.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000158525.esd
22	ENSG00000100376	0	45341955	ENSG00000100376	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000100376.esd
19	ENSG00000099817	0	1095380	ENSG00000099817	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000099817.esd
19	ENSG00000096996	0	18098944	ENSG00000096996	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000096996.esd
19	ENSG00000099308	0	18151692	ENSG00000099308	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000099308.esd
16	ENSG00000131634	0	1555580	ENSG00000131634	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000131634.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000260349.esd
16	ENSG00000187193	0	56684196	ENSG00000187193	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000187193.esd
5	ENSG00000155542	0	56925532	ENSG00000155542	+	D:/R_ex/MR\esd_meta\CD4_Memory_uns_0h__ENSG00000155542.esd
