gene_id	chr	pos	pval_exp	beta_exp	F	beta_out	se_out	eaf	b_mr	se_mr	z	p_mr	fdr	locus	known
ENSG00000272455	1	1408286	6.72652e-10	-0.959247	38.09840195982754	0.0406662	0.021727	0.146393	-0.04239387769781923	0.02265005780575806	1.8716896027983614	0.061249558807831075	0.5788419843377443	1_0	False
ENSG00000189339	1	1668721	3.54224e-13	-1.09698	52.881870858082735	0.0159751	0.0228948	0.228536	-0.014562799686411783	0.020870754252584365	0.6977610636476405	0.4853266329088153	0.8976366792978131	1_0	False
ENSG00000215912	1	2803339	3.60246e-09	-0.592763	34.82751538357284	0.00286735	0.0145458	0.42191	-0.004837262109814546	0.024538981009273517	0.1971256307662693	0.8437292264849081	0.9621851511936634	1_1	False
ENSG00000116213	1	3650061	1.47505e-17	0.754936	72.74535483752916	-0.0147393	0.0143603	0.491295	-0.019523906662286605	0.019021877351192682	-1.026392206290955	0.30470675020323634	0.8336238585874544	1_1	False
ENSG00000198912	1	3891607	3.00802e-10	0.591807	39.66939866972866	-0.012891	0.0162847	0.753186	-0.02178243920737673	0.02751691007372336	-0.7916019331028512	0.4285928194125056	0.8927773367042983	1_1	False
ENSG00000131697	1	5992014	1.87457e-18	-0.657501	76.81804436024356	0.0200762	0.0152563	0.337776	-0.030534098046999168	0.023203462808421584	1.3159285016681632	0.18819804142077523	0.7598606367223788	1_2	False
ENSG00000158286	1	6198965	4.88941e-14	-0.980936	56.773785491869916	-0.00615527	0.0152618	0.200068	0.006274894590472773	0.015558405441333583	-0.4033121912225294	0.6867185743289101	0.9374253554331154	1_2	False
ENSG00000011021	1	11773695	2.48786e-08	1.68985	31.070799802924977	-0.0412804	0.0371774	0.0183044	-0.02442844039411782	0.022000414237950114	-1.1103627472604325	0.2668427442386748	0.8136993343613862	1_3	False
ENSG00000132906	1	15484129	8.09331e-10	0.73218	37.73751366755331	-0.00433718	0.0129493	0.4839	-0.005923652653719031	0.017685951541970554	-0.3349354791378685	0.7376737578113193	0.946665484530583	1_4	False
ENSG00000116771	1	15597035	4.82281e-08	0.53716	29.78673331887026	-0.0111757	0.0136479	0.715387	-0.020805160473601907	0.02540751358999181	-0.8188585789755201	0.4128671046229109	0.8918541547890251	1_4	False
ENSG00000169991	1	18934914	3.41356e-12	0.540172	48.43536693876313	-0.0223174	0.01498	0.321127	-0.04131535881163778	0.027731907614611643	-1.4898130841121495	0.136273389854233	0.6975899718728594	1_5	False
ENSG00000090432	1	20508117	5.01833e-12	1.10692	47.6798111497585	0.0164838	0.0192966	0.120986	0.014891591081559644	0.017432696129801615	0.8542333882652903	0.3929756869103238	0.8823997147333641	1_6	False
