Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
3	ENSG00000161267	0	197573323	ENSG00000161267	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000161267.esd
15	ENSG00000166140	0	40815084	ENSG00000166140	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000166140.esd
11	ENSG00000175348	0	8965011	ENSG00000175348	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000175348.esd
11	ENSG00000134824	0	61867354	ENSG00000134824	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000134824.esd
11	ENSG00000197345	0	68903835	ENSG00000197345	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000197345.esd
1	ENSG00000164008	0	42775747	ENSG00000164008	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000164008.esd
1	ENSG00000085491	0	108200849	ENSG00000085491	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000085491.esd
1	ENSG00000168765	0	109674836	ENSG00000168765	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000168765.esd
1	ENSG00000163131	0	150765957	ENSG00000163131	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000163131.esd
1	ENSG00000235750	0	175192999	ENSG00000235750	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000235750.esd
1	ENSG00000054282	0	243500092	ENSG00000054282	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000054282.esd
10	ENSG00000057608	0	5842132	ENSG00000057608	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000057608.esd
10	ENSG00000166272	0	102816267	ENSG00000166272	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000166272.esd
19	ENSG00000174837	0	6940459	ENSG00000174837	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000174837.esd
19	ENSG00000197134	0	22091480	ENSG00000197134	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000197134.esd
20	ENSG00000089012	0	1657779	ENSG00000089012	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000089012.esd
14	ENSG00000165410	0	34714823	ENSG00000165410	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000165410.esd
17	ENSG00000258315	0	7017525	ENSG00000258315	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000258315.esd
17	ENSG00000170291	0	7259940	ENSG00000170291	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000170291.esd
17	ENSG00000181885	0	7263983	ENSG00000181885	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000181885.esd
17	ENSG00000141127	0	18931287	ENSG00000141127	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000141127.esd
17	ENSG00000120071	0	46225374	ENSG00000120071	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000120071.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000141560.esd
2	ENSG00000157992	0	27446481	ENSG00000157992	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000157992.esd
7	ENSG00000086232	0	6059230	ENSG00000086232	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000086232.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000158525.esd
22	ENSG00000239713	0	39087743	ENSG00000239713	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000239713.esd
22	ENSG00000100299	0	50628173	ENSG00000100299	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000100299.esd
12	ENSG00000139428	0	109573874	ENSG00000139428	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000139428.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000260349.esd
16	ENSG00000176476	0	28591790	ENSG00000176476	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000176476.esd
16	ENSG00000125148	0	56609497	ENSG00000125148	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000125148.esd
5	ENSG00000049167	0	60945073	ENSG00000049167	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000049167.esd
9	ENSG00000155158	0	15307360	ENSG00000155158	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000155158.esd
9	ENSG00000148290	0	133356676	ENSG00000148290	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000148290.esd
6	ENSG00000234745	0	31357188	ENSG00000234745	+	D:/R_ex/MR\esd\CD4_Naive_stim_5d__ENSG00000234745.esd
