Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
22	ENSG00000100100	0	31292534	ENSG00000100100	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000100100.esd
22	ENSG00000100376	0	45341955	ENSG00000100376	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000100376.esd
6	ENSG00000124588	0	3028869	ENSG00000124588	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000124588.esd
6	ENSG00000186470	0	26378320	ENSG00000186470	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000186470.esd
6	ENSG00000179344	0	32668383	ENSG00000179344	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000179344.esd
19	ENSG00000099308	0	18151692	ENSG00000099308	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000099308.esd
14	ENSG00000165410	0	34714823	ENSG00000165410	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000165410.esd
14	ENSG00000177465	0	73596496	ENSG00000177465	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000177465.esd
14	ENSG00000165898	0	74497106	ENSG00000165898	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000165898.esd
10	ENSG00000057608	0	5842132	ENSG00000057608	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000057608.esd
10	ENSG00000166275	0	102864961	ENSG00000166275	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000166275.esd
10	ENSG00000170430	0	129768007	ENSG00000170430	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000170430.esd
7	ENSG00000164597	0	107564514	ENSG00000164597	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000164597.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000158525.esd
5	ENSG00000154122	0	14871778	ENSG00000154122	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000154122.esd
1	ENSG00000158006	0	25998157	ENSG00000158006	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000158006.esd
1	ENSG00000215845	0	161038990	ENSG00000215845	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000215845.esd
1	ENSG00000198625	0	204558120	ENSG00000198625	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000198625.esd
11	ENSG00000149084	0	43856617	ENSG00000149084	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000149084.esd
11	ENSG00000168066	0	64778786	ENSG00000168066	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000168066.esd
11	ENSG00000175550	0	65921561	ENSG00000175550	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000175550.esd
11	ENSG00000246174	0	78175323	ENSG00000246174	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000246174.esd
3	ENSG00000271964	0	16314987	ENSG00000271964	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000271964.esd
2	ENSG00000136732	0	126696675	ENSG00000136732	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000136732.esd
2	ENSG00000130414	0	240025402	ENSG00000130414	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000130414.esd
13	ENSG00000083642	0	32778019	ENSG00000083642	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000083642.esd
13	ENSG00000152749	0	94634645	ENSG00000152749	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000152749.esd
15	ENSG00000169032	0	66492312	ENSG00000169032	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000169032.esd
17	ENSG00000161929	0	5234860	ENSG00000161929	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000161929.esd
17	ENSG00000213859	0	7354944	ENSG00000213859	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000213859.esd
17	ENSG00000263715	0	45835826	ENSG00000263715	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000263715.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000141560.esd
12	ENSG00000111671	0	6889358	ENSG00000111671	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000111671.esd
12	ENSG00000167768	0	52680407	ENSG00000167768	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000167768.esd
16	ENSG00000131634	0	1555580	ENSG00000131634	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000131634.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd_meta\CD4_Naive_uns_0h__ENSG00000260349.esd
