Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
17	ENSG00000258315	0	7017525	ENSG00000258315	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000258315.esd
17	ENSG00000072778	0	7225273	ENSG00000072778	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000072778.esd
17	ENSG00000170291	0	7259940	ENSG00000170291	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000170291.esd
17	ENSG00000141127	0	18931287	ENSG00000141127	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000141127.esd
17	ENSG00000120071	0	46225374	ENSG00000120071	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000120071.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000141560.esd
11	ENSG00000134824	0	61867354	ENSG00000134824	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000134824.esd
11	ENSG00000197345	0	68903835	ENSG00000197345	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000197345.esd
12	ENSG00000010626	0	6914243	ENSG00000010626	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000010626.esd
1	ENSG00000090621	0	39576790	ENSG00000090621	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000090621.esd
1	ENSG00000164008	0	42775747	ENSG00000164008	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000164008.esd
1	ENSG00000097046	0	91525764	ENSG00000097046	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000097046.esd
1	ENSG00000085491	0	108200849	ENSG00000085491	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000085491.esd
1	ENSG00000168765	0	109674836	ENSG00000168765	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000168765.esd
1	ENSG00000163131	0	150765957	ENSG00000163131	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000163131.esd
1	ENSG00000198734	0	169586588	ENSG00000198734	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000198734.esd
1	ENSG00000235750	0	175192999	ENSG00000235750	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000235750.esd
10	ENSG00000057608	0	5842132	ENSG00000057608	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000057608.esd
10	ENSG00000183049	0	12835545	ENSG00000183049	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000183049.esd
10	ENSG00000254635	0	28532743	ENSG00000254635	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000254635.esd
10	ENSG00000166272	0	102816267	ENSG00000166272	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000166272.esd
9	ENSG00000155158	0	15307360	ENSG00000155158	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000155158.esd
9	ENSG00000135047	0	87731393	ENSG00000135047	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000135047.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000260349.esd
16	ENSG00000176476	0	28591790	ENSG00000176476	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000176476.esd
16	ENSG00000185324	0	89696364	ENSG00000185324	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000185324.esd
22	ENSG00000100219	0	28800597	ENSG00000100219	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000100219.esd
22	ENSG00000239713	0	39087743	ENSG00000239713	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000239713.esd
2	ENSG00000157992	0	27446481	ENSG00000157992	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000157992.esd
7	ENSG00000277149	0	72828198	ENSG00000277149	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000277149.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000158525.esd
20	ENSG00000126005	0	35278131	ENSG00000126005	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000126005.esd
19	ENSG00000197134	0	22091480	ENSG00000197134	+	D:/R_ex/MR\esd\CD4_Memory_stim_5d__ENSG00000197134.esd
