cell	region_filter	analysis_status	locus_kb	locus	chr	start_mb	end_mb	span_kb	n_records	n_sig	n_near	n_sig_near	min_dist_sig_kb	evidence	top_gene	top_p
HCC_low x eQTLGen_blood	all_genome	prereg_sensitivity	500	22:43960600-44455578	22	43.961	44.456	495	4	1	1	0	1266	C1_spread_only	ENSG00000100347	2.38043945875759e-05
melanoma x eQTLGen_blood	all_genome	prereg_sensitivity	500	1:154966186-155309691	1	154.966	155.31	344	13	1	13	1	164	significant_record	ZBTB7B	1.68533960249598e-08
melanoma x eQTLGen_blood	all_genome	prereg_sensitivity	500	10:103850568-104339650	10	103.851	104.34	489	11	2	11	2	3	significant_record	OBFC1	4.974880744455e-06
melanoma x eQTLGen_blood	all_genome	prereg_sensitivity	500	6:32621994-33067154	6	32.622	33.067	445	7	2	7	2	10	significant_record	HLA-DQA2	0.000219101757417439
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	21:42299819-42738295	21	42.3	42.738	438	7	1	2	0	1063	C1_spread_only	UBASH3A	0.00064659922670314
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	1:25065113-25564344	1	25.065	25.564	499	7	3	6	3	774	significant_record	RHD	5.21296318368601e-08
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	1:151487785-151958528	1	151.488	151.959	471	14	2	14	2	806	significant_record	OAZ3	0.00019172648575017
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	1:154463719-154943501	1	154.464	154.944	480	7	1	7	1	559	significant_record	SHE	0.000459926077134866
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	10:6110655-6584252	10	6.111	6.584	474	8	3	8	3	859	significant_record	PRKCQ-AS1	0.000193806551581952
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	11:197557-696437	11	0.198	0.696	499	29	1	29	1	16	significant_record	SIGIRR	0.000960242878704223
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	11:9303713-9737655	11	9.304	9.738	434	5	1	4	1	572	significant_record	SWAP70	2.99179328349234e-05
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	11:61432192-61911460	11	61.432	61.911	479	11	2	10	2	608	significant_record	FADS1	0.000556011403608783
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	11:107840938-108228647	11	107.841	108.229	388	5	2	5	2	97	significant_record	NPAT	0.000532585499603319
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	16:69316966-69730509	16	69.317	69.731	414	10	1	10	1	574	significant_record	TERF2	0.000665890648509885
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	16:89097899-89522488	16	89.098	89.522	425	8	1	8	1	210	significant_record	AC137932.6	0.000409104383985241
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	16:89624734-90077319	16	89.625	90.077	453	15	2	15	2	19	significant_record	AFG3L1P	0.000140480577046241
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	2:134921318-135350207	2	134.921	135.35	429	4	1	4	1	677	significant_record	R3HDM1	0.000923346795023138
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	2:202034208-202406544	2	202.034	202.407	372	4	1	2	1	755	significant_record	FZD7	0.000814466123884309
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	20:63864109-64269826	20	63.864	64.27	406	11	1	11	1	403	significant_record	TCEA2	6.1045583862485e-05
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	22:38642785-39128126	22	38.643	39.128	485	15	2	15	2	458	significant_record	TOMM22	0.000182879050917208
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	22:50168982-50625049	22	50.169	50.625	456	22	1	22	1	161	significant_record	SBF1	1.94205506117325e-06
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	5:56148856-56148856	5	56.149	56.149	0	2	2	2	2	567	significant_record	ANKRD55	6.80602826420407e-18
RA x eQTLGen_blood	all_genome	prereg_sensitivity	500	6:31704935-32108722	6	31.705	32.109	404	14	7	9	5	679	significant_record	NELFE	2.87254115472946e-51
