chr	pos
1	7901146
1	17346235
1	37812907
1	38168207
1	113834946
1	116721168
1	154454494
1	157705207
1	161435263
1	173380586
2	30226728
2	60897715
2	62233985
2	65371166
2	100208905
2	110850255
2	191079016
2	201289674
2	203745673
2	203874196
3	17005540
3	27723132
3	58317208
3	136683218
4	10725733
4	26118379
4	48218822
4	122478336
5	56148856
5	103273223
5	132094425
6	32460995
6	44266184
6	106219660
6	137906227
6	159085568
6	167127354
7	28135367
7	92607515
8	11484371
8	80183160
8	101451374
8	128529854
9	34710341
9	120873843
10	6056986
10	6348488
10	8062759
10	9007290
10	31126177
10	48889774
10	62020112
10	62277122
10	79947217
11	36480237
11	61138978
11	61828092
11	95578258
11	118858682
11	128627057
12	57714269
12	111395984
13	39793932
14	61473957
14	68293424
14	104926500
15	38541832
15	69699078
16	11745470
16	85985481
17	5369285
17	39583908
18	12881362
18	69876810
19	10352442
20	46120612
21	33391982
21	35365944
21	42434957
22	21624807
22	37149465
22	39351666
23	154036016
