Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
1	ENSG00000164008	0	42775747	ENSG00000164008	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000164008.esd
1	ENSG00000159479	0	43389808	ENSG00000159479	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000159479.esd
1	ENSG00000168765	0	109674836	ENSG00000168765	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000168765.esd
1	ENSG00000143653	0	246768137	ENSG00000143653	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000143653.esd
9	ENSG00000155158	0	15307360	ENSG00000155158	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000155158.esd
9	ENSG00000135047	0	87731393	ENSG00000135047	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000135047.esd
9	ENSG00000148290	0	133356676	ENSG00000148290	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000148290.esd
19	ENSG00000174837	0	6940459	ENSG00000174837	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000174837.esd
3	ENSG00000144895	0	150584242	ENSG00000144895	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000144895.esd
16	ENSG00000174177	0	88715386	ENSG00000174177	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000174177.esd
16	ENSG00000261373	0	89718165	ENSG00000261373	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000261373.esd
12	ENSG00000111669	0	6870948	ENSG00000111669	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000111669.esd
13	ENSG00000083642	0	32778019	ENSG00000083642	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000083642.esd
14	ENSG00000165410	0	34714823	ENSG00000165410	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000165410.esd
14	ENSG00000131979	0	54902852	ENSG00000131979	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000131979.esd
17	ENSG00000170291	0	7259940	ENSG00000170291	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000170291.esd
17	ENSG00000214401	0	46196723	ENSG00000214401	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000214401.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000141560.esd
2	ENSG00000157992	0	27446481	ENSG00000157992	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000157992.esd
2	ENSG00000115446	0	98618515	ENSG00000115446	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000115446.esd
2	ENSG00000144231	0	127858157	ENSG00000144231	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000144231.esd
2	ENSG00000079263	0	230313215	ENSG00000079263	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000079263.esd
10	ENSG00000057608	0	5842132	ENSG00000057608	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000057608.esd
10	ENSG00000059573	0	95656706	ENSG00000059573	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000059573.esd
11	ENSG00000174775	0	537287	ENSG00000174775	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000174775.esd
11	ENSG00000121691	0	34472062	ENSG00000121691	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000121691.esd
8	ENSG00000133731	0	81686693	ENSG00000133731	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000133731.esd
8	ENSG00000136982	0	119856010	ENSG00000136982	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000136982.esd
6	ENSG00000124570	0	2972165	ENSG00000124570	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000124570.esd
6	ENSG00000179344	0	32668383	ENSG00000179344	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000179344.esd
6	ENSG00000080546	0	109094819	ENSG00000080546	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000080546.esd
6	ENSG00000008018	0	170553341	ENSG00000008018	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000008018.esd
7	ENSG00000164548	0	23532041	ENSG00000164548	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000164548.esd
7	ENSG00000277149	0	72828198	ENSG00000277149	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000277149.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd\CD4_Naive_stim_16h__ENSG00000158525.esd
