Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
2	ENSG00000079785	0	15631111	ENSG00000079785	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000079785.esd
2	ENSG00000163599	0	203873960	ENSG00000163599	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000163599.esd
1	ENSG00000090621	0	39576790	ENSG00000090621	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000090621.esd
1	ENSG00000159479	0	43389808	ENSG00000159479	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000159479.esd
1	ENSG00000162613	0	77979110	ENSG00000162613	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000162613.esd
1	ENSG00000143575	0	154275875	ENSG00000143575	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000143575.esd
1	ENSG00000198734	0	169586588	ENSG00000198734	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000198734.esd
1	ENSG00000235750	0	175192999	ENSG00000235750	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000235750.esd
1	ENSG00000198625	0	204558120	ENSG00000198625	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000198625.esd
1	ENSG00000143799	0	226408079	ENSG00000143799	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000143799.esd
5	ENSG00000155542	0	56925532	ENSG00000155542	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000155542.esd
7	ENSG00000164548	0	23532041	ENSG00000164548	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000164548.esd
7	ENSG00000106633	0	44198170	ENSG00000106633	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000106633.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000158525.esd
17	ENSG00000185262	0	76271299	ENSG00000185262	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000185262.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000141560.esd
19	ENSG00000175691	0	2944971	ENSG00000175691	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000175691.esd
19	ENSG00000167671	0	4457822	ENSG00000167671	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000167671.esd
6	ENSG00000124588	0	3028869	ENSG00000124588	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000124588.esd
6	ENSG00000079691	0	25620530	ENSG00000079691	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000079691.esd
6	ENSG00000186470	0	26378320	ENSG00000186470	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000186470.esd
6	ENSG00000198502	0	32530287	ENSG00000198502	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000198502.esd
6	ENSG00000196126	0	32589848	ENSG00000196126	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000196126.esd
6	ENSG00000180992	0	44127457	ENSG00000180992	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000180992.esd
20	ENSG00000198171	0	3204685	ENSG00000198171	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000198171.esd
20	ENSG00000125877	0	3223870	ENSG00000125877	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000125877.esd
12	ENSG00000111671	0	6889358	ENSG00000111671	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000111671.esd
12	ENSG00000167768	0	52680407	ENSG00000167768	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000167768.esd
12	ENSG00000139625	0	53500063	ENSG00000139625	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000139625.esd
12	ENSG00000166896	0	57957269	ENSG00000166896	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000166896.esd
