Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
17	ENSG00000258315	0	7017525	ENSG00000258315	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000258315.esd
17	ENSG00000220205	0	8163546	ENSG00000220205	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000220205.esd
17	ENSG00000176974	0	18363563	ENSG00000176974	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000176974.esd
17	ENSG00000120071	0	46225374	ENSG00000120071	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000120071.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000141560.esd
11	ENSG00000110665	0	2303049	ENSG00000110665	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000110665.esd
11	ENSG00000173156	0	67072013	ENSG00000173156	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000173156.esd
11	ENSG00000159063	0	78139660	ENSG00000159063	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000159063.esd
11	ENSG00000246174	0	78175323	ENSG00000246174	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000246174.esd
15	ENSG00000166839	0	64958700	ENSG00000166839	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000166839.esd
12	ENSG00000010626	0	6914243	ENSG00000010626	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000010626.esd
12	ENSG00000139625	0	53500063	ENSG00000139625	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000139625.esd
12	ENSG00000139428	0	109573874	ENSG00000139428	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000139428.esd
1	ENSG00000142632	0	16212609	ENSG00000142632	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000142632.esd
1	ENSG00000158769	0	161021348	ENSG00000158769	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000158769.esd
1	ENSG00000215845	0	161038990	ENSG00000215845	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000215845.esd
1	ENSG00000198734	0	169586588	ENSG00000198734	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000198734.esd
1	ENSG00000235750	0	175192999	ENSG00000235750	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000235750.esd
1	ENSG00000198625	0	204558120	ENSG00000198625	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000198625.esd
6	ENSG00000124588	0	3028869	ENSG00000124588	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000124588.esd
6	ENSG00000079691	0	25620530	ENSG00000079691	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000079691.esd
6	ENSG00000186470	0	26378320	ENSG00000186470	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000186470.esd
6	ENSG00000198502	0	32530287	ENSG00000198502	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000198502.esd
10	ENSG00000057608	0	5842132	ENSG00000057608	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000057608.esd
10	ENSG00000183049	0	12835545	ENSG00000183049	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000183049.esd
10	ENSG00000254635	0	28532743	ENSG00000254635	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000254635.esd
10	ENSG00000138185	0	95869695	ENSG00000138185	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000138185.esd
10	ENSG00000166272	0	102816267	ENSG00000166272	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000166272.esd
10	ENSG00000166275	0	102864961	ENSG00000166275	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000166275.esd
9	ENSG00000155158	0	15307360	ENSG00000155158	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000155158.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000260349.esd
16	ENSG00000185324	0	89696364	ENSG00000185324	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000185324.esd
5	ENSG00000155542	0	56925532	ENSG00000155542	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000155542.esd
22	ENSG00000100410	0	41468725	ENSG00000100410	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000100410.esd
22	ENSG00000100376	0	45341955	ENSG00000100376	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000100376.esd
2	ENSG00000115750	0	9934416	ENSG00000115750	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000115750.esd
2	ENSG00000163599	0	203873960	ENSG00000163599	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_5d__ENSG00000163599.esd
