Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
6	ENSG00000124570	0	2972165	ENSG00000124570	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000124570.esd
6	ENSG00000234745	0	31357188	ENSG00000234745	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000234745.esd
16	ENSG00000167523	0	89671272	ENSG00000167523	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000167523.esd
16	ENSG00000185324	0	89696364	ENSG00000185324	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000185324.esd
11	ENSG00000134824	0	61867354	ENSG00000134824	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000134824.esd
11	ENSG00000197345	0	68903835	ENSG00000197345	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000197345.esd
9	ENSG00000135047	0	87731393	ENSG00000135047	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000135047.esd
14	ENSG00000100804	0	23035230	ENSG00000100804	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000100804.esd
14	ENSG00000131979	0	54902852	ENSG00000131979	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000131979.esd
14	ENSG00000140105	0	100376805	ENSG00000140105	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000140105.esd
17	ENSG00000258315	0	7017525	ENSG00000258315	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000258315.esd
17	ENSG00000170291	0	7259940	ENSG00000170291	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000170291.esd
17	ENSG00000167543	0	29573157	ENSG00000167543	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000167543.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000141560.esd
2	ENSG00000157992	0	27446481	ENSG00000157992	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000157992.esd
2	ENSG00000115816	0	37231713	ENSG00000115816	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000115816.esd
12	ENSG00000111671	0	6889358	ENSG00000111671	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000111671.esd
12	ENSG00000198015	0	93516213	ENSG00000198015	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000198015.esd
7	ENSG00000277149	0	72828198	ENSG00000277149	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000277149.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000158525.esd
1	ENSG00000070831	0	22092946	ENSG00000070831	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000070831.esd
1	ENSG00000164008	0	42775747	ENSG00000164008	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000164008.esd
1	ENSG00000159479	0	43389808	ENSG00000159479	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000159479.esd
1	ENSG00000085491	0	108200849	ENSG00000085491	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000085491.esd
1	ENSG00000168765	0	109674836	ENSG00000168765	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000168765.esd
1	ENSG00000198734	0	169586588	ENSG00000198734	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000198734.esd
1	ENSG00000235750	0	175192999	ENSG00000235750	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000235750.esd
19	ENSG00000174837	0	6940459	ENSG00000174837	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000174837.esd
19	ENSG00000197134	0	22091480	ENSG00000197134	+	D:/R_ex/MR\esd\CD4_Memory_stim_40h__ENSG00000197134.esd
