cell	locus	chr	pos	significant	dist_bp	dist_bp_any_record	min_fdr
melanoma x Soskic_CD4	10_0	10		False	50450.0	50450.0	0.1040668156455798
melanoma x Soskic_CD4	10_1	10		False	2027471.0	2027471.0	0.8875111350396909
melanoma x Soskic_CD4	10_10	10		False	43186171.0	43186171.0	0.2200507783623877
melanoma x Soskic_CD4	10_11	10		False	40297420.0	40297420.0	0.8829496972724188
melanoma x Soskic_CD4	10_12	10		False	33671401.0	33671401.0	0.4693393127059393
melanoma x Soskic_CD4	10_13	10		False	32107023.0	32107023.0	0.794213817547244
melanoma x Soskic_CD4	10_14	10		False	23369478.0	23369478.0	0.4788669864984165
melanoma x Soskic_CD4	10_15	10		False	19395231.0	19395231.0	0.8829496972724188
melanoma x Soskic_CD4	10_16	10		False	14668107.0	14668107.0	0.5708628575304568
melanoma x Soskic_CD4	10_17	10		False	11606407.0	11606407.0	0.4915422620802062
melanoma x Soskic_CD4	10_18	10		False	7983022.0	7983022.0	0.4436758562263233
melanoma x Soskic_CD4	10_19	10		False	6574774.0	6574774.0	0.794213817547244
melanoma x Soskic_CD4	10_2	10		False	6971779.0	6971779.0	0.2937937883151974
melanoma x Soskic_CD4	10_20	10		False	5479650.0	5479650.0	0.6074904205534195
melanoma x Soskic_CD4	10_21	10		False	2936748.0	2936748.0	0.9604833259121708
melanoma x Soskic_CD4	10_22	10		False	1059762.0	1059762.0	0.2072864190438824
melanoma x Soskic_CD4	10_23	10		False	309560.0	309560.0	0.8173421397723956
melanoma x Soskic_CD4	10_24	10		False	2257255.0	2257255.0	0.8207827305748526
melanoma x Soskic_CD4	10_25	10		False	8535258.0	8535258.0	0.770327875808136
melanoma x Soskic_CD4	10_26	10		False	12241639.0	12241639.0	0.8875111350396909
melanoma x Soskic_CD4	10_27	10		False	14600192.0	14600192.0	0.6700954747459885
melanoma x Soskic_CD4	10_28	10		False	17990396.0	17990396.0	0.9469156946053596
melanoma x Soskic_CD4	10_29	10		False	19517446.0	19517446.0	0.3700282372381993
melanoma x Soskic_CD4	10_3	10		False	9471816.0	9471816.0	0.8806378599398026
melanoma x Soskic_CD4	10_30	10		False	22214350.0	22214350.0	0.8534797046190429
melanoma x Soskic_CD4	10_4	10		False	10702437.0	10702437.0	0.5100523660013497
melanoma x Soskic_CD4	10_5	10		False	22775681.0	22775681.0	0.2383892205899734
melanoma x Soskic_CD4	10_6	10		False	29730533.0	29730533.0	0.9836690771931308
melanoma x Soskic_CD4	10_7	10		False	37646477.0	37646477.0	0.8377441015684501
melanoma x Soskic_CD4	10_8	10		False	43370277.0	43370277.0	0.5100523660013497
melanoma x Soskic_CD4	10_9	10		False	45724858.0	45724858.0	0.8207827305748526
melanoma x Soskic_CD4	11_0	11		False	91342.0	91342.0	0.4039990176574948
melanoma x Soskic_CD4	11_1	11		False	467193.0	467193.0	0.3370150656823211
melanoma x Soskic_CD4	11_10	11		False	4067683.0	4067683.0	0.7205488194757473
melanoma x Soskic_CD4	11_11	11		False	124934.0	124934.0	0.1901431436794668
melanoma x Soskic_CD4	11_12	11		False	255821.0	255821.0	0.11896148919191
melanoma x Soskic_CD4	11_13	11		False	1882588.0	1882588.0	0.9590701848641336
melanoma x Soskic_CD4	11_14	11		False	4085360.0	4085360.0	0.3811992583684619
melanoma x Soskic_CD4	11_15	11		False	7968553.0	7968553.0	0.2899961358313624
melanoma x Soskic_CD4	11_16	11		False	3629075.0	3629075.0	0.8875111350396909
melanoma x Soskic_CD4	11_17	11		False	948504.0	948504.0	0.2200507783623877
melanoma x Soskic_CD4	11_18	11		False	1859936.0	1859936.0	0.794213817547244
melanoma x Soskic_CD4	11_19	11		False	3076475.0	3076475.0	0.6695650270216388
melanoma x Soskic_CD4	11_2	11		False	1552123.0	1552123.0	0.7896028237874808
melanoma x Soskic_CD4	11_20	11		False	3254051.0	3254051.0	0.770327875808136
melanoma x Soskic_CD4	11_21	11		False	193711.0	193711.0	0.770327875808136
melanoma x Soskic_CD4	11_22	11		False	1298815.0	1298815.0	0.4595975672636607
melanoma x Soskic_CD4	11_23	11		False	2540569.0	2540569.0	0.5100523660013497
melanoma x Soskic_CD4	11_24	11		False	4584353.0	4584353.0	0.8454306517873427
melanoma x Soskic_CD4	11_25	11		False	14045255.0	14045255.0	0.8173421397723956
melanoma x Soskic_CD4	11_3	11		False	1832253.0	1832253.0	0.8169107406755161
melanoma x Soskic_CD4	11_4	11		False	4163576.0	4163576.0	0.8875111350396909
melanoma x Soskic_CD4	11_5	11		False	14093596.0	14093596.0	0.8754154033799069
melanoma x Soskic_CD4	11_6	11		False	15879251.0	15879251.0	0.8454306517873427
melanoma x Soskic_CD4	11_7	11		False	17517568.0	17517568.0	0.4788669864984165
melanoma x Soskic_CD4	11_8	11		False	18369954.0	18369954.0	0.466984612015905
melanoma x Soskic_CD4	11_9	11		False	14723501.0	14723501.0	0.5444588975252251
melanoma x Soskic_CD4	12_0	12		False	12310440.0	12310440.0	0.6114817355441279
melanoma x Soskic_CD4	12_1	12		False	8279107.0	8279107.0	0.9892396267346948
melanoma x Soskic_CD4	12_10	12		False	30126423.0	30126423.0	0.930208024792709
melanoma x Soskic_CD4	12_11	12		False	31873011.0	31873011.0	0.8857758244453026
melanoma x Soskic_CD4	12_12	12		False	34203679.0	34203679.0	0.3061466943598235
melanoma x Soskic_CD4	12_13	12		False	33440510.0	33440510.0	0.6700954747459885
melanoma x Soskic_CD4	12_14	12		False	31976149.0	31976149.0	0.5084834589100321
melanoma x Soskic_CD4	12_15	12		False	30520883.0	30520883.0	0.1192322324386712
melanoma x Soskic_CD4	12_16	12		False	22116423.0	22116423.0	0.8207827305748526
melanoma x Soskic_CD4	12_17	12		False	18199389.0	18199389.0	0.6254313500765278
melanoma x Soskic_CD4	12_18	12		False	12963962.0	12963962.0	0.8857758244453026
melanoma x Soskic_CD4	12_19	12		False	2519250.0	2519250.0	0.5789099232360339
melanoma x Soskic_CD4	12_2	12		False	5781065.0	5781065.0	0.1040668156455798
melanoma x Soskic_CD4	12_20	12		False	41624.0	41624.0	0.4485559919871644
melanoma x Soskic_CD4	12_21	12		False	5695635.0	5695635.0	0.630734100019582
melanoma x Soskic_CD4	12_22	12		False	7957320.0	7957320.0	0.8534797046190429
melanoma x Soskic_CD4	12_23	12		False	5443832.0	5443832.0	0.3306574049207186
