region	chrom	centre	half_window	n_ld_variants	genome_wide_sig
SMC2	9	104125300	500000	3612	FALSE
KANSL1	17	45592652	500000	3940	FALSE
MDM4	1	203769637	500000	3103	FALSE
KIAA0040	1	175143931	500000	3022	FALSE
