Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
22	ENSG00000100100	0	31292534	ENSG00000100100	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000100100.esd
22	ENSG00000025708	0	50530056	ENSG00000025708	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000025708.esd
22	ENSG00000100299	0	50628173	ENSG00000100299	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000100299.esd
6	ENSG00000170542	0	2903280	ENSG00000170542	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000170542.esd
6	ENSG00000124570	0	2972165	ENSG00000124570	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000124570.esd
6	ENSG00000179344	0	32668383	ENSG00000179344	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000179344.esd
6	ENSG00000080546	0	109094819	ENSG00000080546	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000080546.esd
4	ENSG00000244459	0	1580253	ENSG00000244459	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000244459.esd
4	ENSG00000168824	0	4419058	ENSG00000168824	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000168824.esd
4	ENSG00000005059	0	109688726	ENSG00000005059	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000005059.esd
19	ENSG00000268030	0	18561560	ENSG00000268030	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000268030.esd
14	ENSG00000165410	0	34714823	ENSG00000165410	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000165410.esd
14	ENSG00000100612	0	60169856	ENSG00000100612	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000100612.esd
8	ENSG00000079459	0	11839309	ENSG00000079459	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000079459.esd
8	ENSG00000104219	0	17224799	ENSG00000104219	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000104219.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000158525.esd
1	ENSG00000164008	0	42775747	ENSG00000164008	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000164008.esd
1	ENSG00000168765	0	109674836	ENSG00000168765	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000168765.esd
11	ENSG00000149084	0	43856617	ENSG00000149084	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000149084.esd
11	ENSG00000197345	0	68903835	ENSG00000197345	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000197345.esd
2	ENSG00000157992	0	27446481	ENSG00000157992	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000157992.esd
2	ENSG00000135968	0	108509415	ENSG00000135968	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000135968.esd
13	ENSG00000083642	0	32778019	ENSG00000083642	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000083642.esd
13	ENSG00000152749	0	94634645	ENSG00000152749	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000152749.esd
9	ENSG00000148290	0	133356676	ENSG00000148290	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000148290.esd
17	ENSG00000170291	0	7259940	ENSG00000170291	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000170291.esd
17	ENSG00000263715	0	45835826	ENSG00000263715	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000263715.esd
17	ENSG00000178852	0	47441312	ENSG00000178852	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000178852.esd
17	ENSG00000069188	0	73644089	ENSG00000069188	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000069188.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000141560.esd
12	ENSG00000111671	0	6889358	ENSG00000111671	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000111671.esd
12	ENSG00000257495	0	52615305	ENSG00000257495	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000257495.esd
12	ENSG00000102189	0	92929331	ENSG00000102189	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000102189.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000260349.esd
16	ENSG00000176476	0	28591790	ENSG00000176476	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000176476.esd
16	ENSG00000178952	0	28846408	ENSG00000178952	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000178952.esd
16	ENSG00000198417	0	56660698	ENSG00000198417	+	D:/R_ex/MR\esd\CD4_Naive_uns_0h__ENSG00000198417.esd
