Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
16	ENSG00000174177	0	88715386	ENSG00000174177	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000174177.esd
16	ENSG00000131165	0	89657845	ENSG00000131165	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000131165.esd
16	ENSG00000167523	0	89671272	ENSG00000167523	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000167523.esd
16	ENSG00000185324	0	89696364	ENSG00000185324	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000185324.esd
15	ENSG00000166140	0	40815084	ENSG00000166140	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000166140.esd
13	ENSG00000083642	0	32778019	ENSG00000083642	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000083642.esd
9	ENSG00000107020	0	5437878	ENSG00000107020	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000107020.esd
9	ENSG00000136824	0	104141417	ENSG00000136824	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000136824.esd
19	ENSG00000175691	0	2944971	ENSG00000175691	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000175691.esd
19	ENSG00000131351	0	17075625	ENSG00000131351	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000131351.esd
19	ENSG00000096996	0	18098944	ENSG00000096996	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000096996.esd
19	ENSG00000197134	0	22091480	ENSG00000197134	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000197134.esd
17	ENSG00000258315	0	7017525	ENSG00000258315	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000258315.esd
17	ENSG00000108557	0	17811453	ENSG00000108557	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000108557.esd
17	ENSG00000176974	0	18363563	ENSG00000176974	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000176974.esd
17	ENSG00000166260	0	54968785	ENSG00000166260	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000166260.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000141560.esd
14	ENSG00000211812	0	22203368	ENSG00000211812	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000211812.esd
14	ENSG00000165410	0	34714823	ENSG00000165410	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000165410.esd
3	ENSG00000144741	0	66388116	ENSG00000144741	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000144741.esd
3	ENSG00000158234	0	138633376	ENSG00000158234	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000158234.esd
5	ENSG00000155542	0	56925532	ENSG00000155542	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000155542.esd
5	ENSG00000035499	0	60700190	ENSG00000035499	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000035499.esd
5	ENSG00000113068	0	140303121	ENSG00000113068	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000113068.esd
7	ENSG00000106633	0	44198170	ENSG00000106633	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000106633.esd
7	ENSG00000158525	0	130368730	ENSG00000158525	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000158525.esd
12	ENSG00000139192	0	6466517	ENSG00000139192	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000139192.esd
12	ENSG00000111671	0	6889358	ENSG00000111671	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000111671.esd
12	ENSG00000139625	0	53500063	ENSG00000139625	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000139625.esd
12	ENSG00000257218	0	120463749	ENSG00000257218	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000257218.esd
2	ENSG00000115750	0	9934416	ENSG00000115750	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000115750.esd
2	ENSG00000143870	0	10837977	ENSG00000143870	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000143870.esd
2	ENSG00000163171	0	37738468	ENSG00000163171	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000163171.esd
2	ENSG00000144231	0	127858157	ENSG00000144231	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000144231.esd
2	ENSG00000163599	0	203873960	ENSG00000163599	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000163599.esd
2	ENSG00000135916	0	230879248	ENSG00000135916	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000135916.esd
10	ENSG00000151150	0	60733490	ENSG00000151150	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000151150.esd
10	ENSG00000166275	0	102864961	ENSG00000166275	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000166275.esd
